Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR17133380	(0.0, 161.0)	(1.0, 213.5)	(2.0, 266.0)	(3.0, 445.0)	(4.0, 624.0)	(5.0, 646.0)	(6.0, 668.0)	(7.0, 1194.0)	(8.0, 1720.0)	(9.0, 2535.5)	(10.0, 3351.0)	(11.0, 5157.0)	(12.0, 6963.0)	(13.0, 9865.0)	(14.0, 12767.0)	(15.0, 18242.5)	(16.0, 23718.0)	(17.0, 33010.5)	(18.0, 42303.0)	(19.0, 55497.5)	(20.0, 68692.0)	(21.0, 87029.5)	(22.0, 105367.0)	(23.0, 131116.5)	(24.0, 156866.0)	(25.0, 189160.0)	(26.0, 221454.0)	(27.0, 261806.5)	(28.0, 302159.0)	(29.0, 346846.0)	(30.0, 391533.0)	(31.0, 445919.0)	(32.0, 500305.0)	(33.0, 564306.5)	(34.0, 628308.0)	(35.0, 696866.0)	(36.0, 765424.0)	(37.0, 829938.5)	(38.0, 894453.0)	(39.0, 992404.0)	(40.0, 1090355.0)	(41.0, 1151086.0)	(42.0, 1211817.0)	(43.0, 1255789.0)	(44.0, 1299761.0)	(45.0, 1376499.5)	(46.0, 1453238.0)	(47.0, 1506595.0)	(48.0, 1559952.0)	(49.0, 1597105.0)	(50.0, 1634258.0)	(51.0, 1652953.0)	(52.0, 1671648.0)	(53.0, 1671085.0)	(54.0, 1670522.0)	(55.0, 1612231.5)	(56.0, 1553941.0)	(57.0, 1481456.5)	(58.0, 1408972.0)	(59.0, 1316881.5)	(60.0, 1224791.0)	(61.0, 1095918.0)	(62.0, 967045.0)	(63.0, 849159.0)	(64.0, 731273.0)	(65.0, 628624.5)	(66.0, 525976.0)	(67.0, 446111.0)	(68.0, 366246.0)	(69.0, 307238.0)	(70.0, 248230.0)	(71.0, 211051.5)	(72.0, 173873.0)	(73.0, 149224.5)	(74.0, 124576.0)	(75.0, 112864.0)	(76.0, 101152.0)	(77.0, 88918.0)	(78.0, 76684.0)	(79.0, 65730.5)	(80.0, 54777.0)	(81.0, 45402.0)	(82.0, 36027.0)	(83.0, 30157.5)	(84.0, 24288.0)	(85.0, 20453.0)	(86.0, 16618.0)	(87.0, 13236.0)	(88.0, 9854.0)	(89.0, 7705.0)	(90.0, 5556.0)	(91.0, 3973.5)	(92.0, 2391.0)	(93.0, 1670.0)	(94.0, 949.0)	(95.0, 638.5)	(96.0, 328.0)	(97.0, 191.5)	(98.0, 55.0)	(99.0, 31.0)	(100.0, 7.0)
SRR17133381	(0.0, 158.0)	(1.0, 250.5)	(2.0, 343.0)	(3.0, 505.0)	(4.0, 667.0)	(5.0, 732.0)	(6.0, 797.0)	(7.0, 1366.0)	(8.0, 1935.0)	(9.0, 2862.5)	(10.0, 3790.0)	(11.0, 5734.5)	(12.0, 7679.0)	(13.0, 10980.5)	(14.0, 14282.0)	(15.0, 20152.5)	(16.0, 26023.0)	(17.0, 36007.0)	(18.0, 45991.0)	(19.0, 59832.5)	(20.0, 73674.0)	(21.0, 92444.0)	(22.0, 111214.0)	(23.0, 136777.5)	(24.0, 162341.0)	(25.0, 194510.5)	(26.0, 226680.0)	(27.0, 265657.0)	(28.0, 304634.0)	(29.0, 347601.5)	(30.0, 390569.0)	(31.0, 442565.0)	(32.0, 494561.0)	(33.0, 555890.0)	(34.0, 617219.0)	(35.0, 683817.5)	(36.0, 750416.0)	(37.0, 814944.0)	(38.0, 879472.0)	(39.0, 972333.5)	(40.0, 1065195.0)	(41.0, 1127644.0)	(42.0, 1190093.0)	(43.0, 1237025.5)	(44.0, 1283958.0)	(45.0, 1362603.0)	(46.0, 1441248.0)	(47.0, 1501547.0)	(48.0, 1561846.0)	(49.0, 1599891.0)	(50.0, 1637936.0)	(51.0, 1660728.0)	(52.0, 1683520.0)	(53.0, 1689996.0)	(54.0, 1696472.0)	(55.0, 1643516.0)	(56.0, 1590560.0)	(57.0, 1520521.5)	(58.0, 1450483.0)	(59.0, 1360369.0)	(60.0, 1270255.0)	(61.0, 1140617.0)	(62.0, 1010979.0)	(63.0, 890721.5)	(64.0, 770464.0)	(65.0, 664814.5)	(66.0, 559165.0)	(67.0, 477521.5)	(68.0, 395878.0)	(69.0, 333608.0)	(70.0, 271338.0)	(71.0, 232702.5)	(72.0, 194067.0)	(73.0, 167695.0)	(74.0, 141323.0)	(75.0, 128632.0)	(76.0, 115941.0)	(77.0, 102357.0)	(78.0, 88773.0)	(79.0, 76850.5)	(80.0, 64928.0)	(81.0, 53858.0)	(82.0, 42788.0)	(83.0, 35709.0)	(84.0, 28630.0)	(85.0, 24369.0)	(86.0, 20108.0)	(87.0, 15897.0)	(88.0, 11686.0)	(89.0, 9173.5)	(90.0, 6661.0)	(91.0, 4791.5)	(92.0, 2922.0)	(93.0, 1985.5)	(94.0, 1049.0)	(95.0, 711.5)	(96.0, 374.0)	(97.0, 215.0)	(98.0, 56.0)	(99.0, 35.0)	(100.0, 14.0)
SRR17133382	(0.0, 156.0)	(1.0, 279.5)	(2.0, 403.0)	(3.0, 630.0)	(4.0, 857.0)	(5.0, 873.5)	(6.0, 890.0)	(7.0, 1554.0)	(8.0, 2218.0)	(9.0, 3149.0)	(10.0, 4080.0)	(11.0, 6228.5)	(12.0, 8377.0)	(13.0, 11724.5)	(14.0, 15072.0)	(15.0, 21824.0)	(16.0, 28576.0)	(17.0, 39469.0)	(18.0, 50362.0)	(19.0, 66005.0)	(20.0, 81648.0)	(21.0, 102031.0)	(22.0, 122414.0)	(23.0, 149180.5)	(24.0, 175947.0)	(25.0, 213218.0)	(26.0, 250489.0)	(27.0, 295741.0)	(28.0, 340993.0)	(29.0, 390476.5)	(30.0, 439960.0)	(31.0, 498341.0)	(32.0, 556722.0)	(33.0, 623402.0)	(34.0, 690082.0)	(35.0, 759782.0)	(36.0, 829482.0)	(37.0, 893795.0)	(38.0, 958108.0)	(39.0, 1049105.0)	(40.0, 1140102.0)	(41.0, 1196641.5)	(42.0, 1253181.0)	(43.0, 1300613.0)	(44.0, 1348045.0)	(45.0, 1410374.0)	(46.0, 1472703.0)	(47.0, 1525265.0)	(48.0, 1577827.0)	(49.0, 1605824.0)	(50.0, 1633821.0)	(51.0, 1640357.0)	(52.0, 1646893.0)	(53.0, 1641815.5)	(54.0, 1636738.0)	(55.0, 1582310.5)	(56.0, 1527883.0)	(57.0, 1455541.0)	(58.0, 1383199.0)	(59.0, 1291690.0)	(60.0, 1200181.0)	(61.0, 1076221.0)	(62.0, 952261.0)	(63.0, 837255.0)	(64.0, 722249.0)	(65.0, 620544.0)	(66.0, 518839.0)	(67.0, 441678.5)	(68.0, 364518.0)	(69.0, 307263.0)	(70.0, 250008.0)	(71.0, 213227.0)	(72.0, 176446.0)	(73.0, 152985.0)	(74.0, 129524.0)	(75.0, 116686.0)	(76.0, 103848.0)	(77.0, 91673.5)	(78.0, 79499.0)	(79.0, 68278.0)	(80.0, 57057.0)	(81.0, 47571.0)	(82.0, 38085.0)	(83.0, 32243.5)	(84.0, 26402.0)	(85.0, 22243.5)	(86.0, 18085.0)	(87.0, 14224.5)	(88.0, 10364.0)	(89.0, 8259.0)	(90.0, 6154.0)	(91.0, 4463.5)	(92.0, 2773.0)	(93.0, 1877.5)	(94.0, 982.0)	(95.0, 667.0)	(96.0, 352.0)	(97.0, 210.5)	(98.0, 69.0)	(99.0, 39.5)	(100.0, 10.0)
SRR17133383	(0.0, 136.0)	(1.0, 209.5)	(2.0, 283.0)	(3.0, 505.5)	(4.0, 728.0)	(5.0, 734.0)	(6.0, 740.0)	(7.0, 1306.0)	(8.0, 1872.0)	(9.0, 2557.0)	(10.0, 3242.0)	(11.0, 5035.5)	(12.0, 6829.0)	(13.0, 9644.5)	(14.0, 12460.0)	(15.0, 18055.0)	(16.0, 23650.0)	(17.0, 32718.0)	(18.0, 41786.0)	(19.0, 54658.5)	(20.0, 67531.0)	(21.0, 84103.0)	(22.0, 100675.0)	(23.0, 122288.5)	(24.0, 143902.0)	(25.0, 174189.0)	(26.0, 204476.0)	(27.0, 239524.5)	(28.0, 274573.0)	(29.0, 312229.5)	(30.0, 349886.0)	(31.0, 394739.5)	(32.0, 439593.0)	(33.0, 492244.5)	(34.0, 544896.0)	(35.0, 597550.5)	(36.0, 650205.0)	(37.0, 697475.5)	(38.0, 744746.0)	(39.0, 814463.5)	(40.0, 884181.0)	(41.0, 923494.5)	(42.0, 962808.0)	(43.0, 997632.0)	(44.0, 1032456.0)	(45.0, 1079785.5)	(46.0, 1127115.0)	(47.0, 1166209.0)	(48.0, 1205303.0)	(49.0, 1225821.5)	(50.0, 1246340.0)	(51.0, 1252557.0)	(52.0, 1258774.0)	(53.0, 1257199.0)	(54.0, 1255624.0)	(55.0, 1212584.5)	(56.0, 1169545.0)	(57.0, 1113735.0)	(58.0, 1057925.0)	(59.0, 985576.5)	(60.0, 913228.0)	(61.0, 818727.0)	(62.0, 724226.0)	(63.0, 635375.5)	(64.0, 546525.0)	(65.0, 467926.0)	(66.0, 389327.0)	(67.0, 329359.0)	(68.0, 269391.0)	(69.0, 225144.0)	(70.0, 180897.0)	(71.0, 153927.0)	(72.0, 126957.0)	(73.0, 108121.0)	(74.0, 89285.0)	(75.0, 79771.5)	(76.0, 70258.0)	(77.0, 61755.0)	(78.0, 53252.0)	(79.0, 45286.0)	(80.0, 37320.0)	(81.0, 30887.0)	(82.0, 24454.0)	(83.0, 20494.5)	(84.0, 16535.0)	(85.0, 13942.0)	(86.0, 11349.0)	(87.0, 8995.0)	(88.0, 6641.0)	(89.0, 5216.0)	(90.0, 3791.0)	(91.0, 2697.0)	(92.0, 1603.0)	(93.0, 1102.0)	(94.0, 601.0)	(95.0, 401.0)	(96.0, 201.0)	(97.0, 118.5)	(98.0, 36.0)	(99.0, 22.0)	(100.0, 8.0)
SRR17133384	(0.0, 187.0)	(1.0, 251.5)	(2.0, 316.0)	(3.0, 496.0)	(4.0, 676.0)	(5.0, 683.5)	(6.0, 691.0)	(7.0, 1200.0)	(8.0, 1709.0)	(9.0, 2502.0)	(10.0, 3295.0)	(11.0, 5100.0)	(12.0, 6905.0)	(13.0, 9783.0)	(14.0, 12661.0)	(15.0, 18320.5)	(16.0, 23980.0)	(17.0, 33386.0)	(18.0, 42792.0)	(19.0, 55590.0)	(20.0, 68388.0)	(21.0, 86204.5)	(22.0, 104021.0)	(23.0, 128111.5)	(24.0, 152202.0)	(25.0, 183798.0)	(26.0, 215394.0)	(27.0, 253835.5)	(28.0, 292277.0)	(29.0, 334337.5)	(30.0, 376398.0)	(31.0, 429478.5)	(32.0, 482559.0)	(33.0, 543821.0)	(34.0, 605083.0)	(35.0, 667183.0)	(36.0, 729283.0)	(37.0, 786649.5)	(38.0, 844016.0)	(39.0, 930433.5)	(40.0, 1016851.0)	(41.0, 1066855.0)	(42.0, 1116859.0)	(43.0, 1155102.5)	(44.0, 1193346.0)	(45.0, 1255229.0)	(46.0, 1317112.0)	(47.0, 1367027.0)	(48.0, 1416942.0)	(49.0, 1447468.5)	(50.0, 1477995.0)	(51.0, 1488996.0)	(52.0, 1499997.0)	(53.0, 1500606.5)	(54.0, 1501216.0)	(55.0, 1451113.0)	(56.0, 1401010.0)	(57.0, 1335671.5)	(58.0, 1270333.0)	(59.0, 1189249.0)	(60.0, 1108165.0)	(61.0, 992667.5)	(62.0, 877170.0)	(63.0, 770261.5)	(64.0, 663353.0)	(65.0, 568076.5)	(66.0, 472800.0)	(67.0, 399894.5)	(68.0, 326989.0)	(69.0, 272624.5)	(70.0, 218260.0)	(71.0, 184370.0)	(72.0, 150480.0)	(73.0, 127651.0)	(74.0, 104822.0)	(75.0, 94622.0)	(76.0, 84422.0)	(77.0, 73954.0)	(78.0, 63486.0)	(79.0, 54720.0)	(80.0, 45954.0)	(81.0, 39039.5)	(82.0, 32125.0)	(83.0, 27100.0)	(84.0, 22075.0)	(85.0, 18645.5)	(86.0, 15216.0)	(87.0, 11993.0)	(88.0, 8770.0)	(89.0, 6613.0)	(90.0, 4456.0)	(91.0, 3227.5)	(92.0, 1999.0)	(93.0, 1384.0)	(94.0, 769.0)	(95.0, 537.0)	(96.0, 305.0)	(97.0, 175.0)	(98.0, 45.0)	(99.0, 27.0)	(100.0, 9.0)
SRR17133385	(0.0, 276.0)	(1.0, 478.0)	(2.0, 680.0)	(3.0, 962.0)	(4.0, 1244.0)	(5.0, 1116.5)	(6.0, 989.0)	(7.0, 1656.0)	(8.0, 2323.0)	(9.0, 3259.5)	(10.0, 4196.0)	(11.0, 6445.5)	(12.0, 8695.0)	(13.0, 12317.5)	(14.0, 15940.0)	(15.0, 23221.0)	(16.0, 30502.0)	(17.0, 42163.5)	(18.0, 53825.0)	(19.0, 67927.5)	(20.0, 82030.0)	(21.0, 103366.5)	(22.0, 124703.0)	(23.0, 150984.5)	(24.0, 177266.0)	(25.0, 212258.0)	(26.0, 247250.0)	(27.0, 291071.5)	(28.0, 334893.0)	(29.0, 379401.0)	(30.0, 423909.0)	(31.0, 480687.0)	(32.0, 537465.0)	(33.0, 601965.0)	(34.0, 666465.0)	(35.0, 734737.5)	(36.0, 803010.0)	(37.0, 866543.5)	(38.0, 930077.0)	(39.0, 1026878.0)	(40.0, 1123679.0)	(41.0, 1178351.0)	(42.0, 1233023.0)	(43.0, 1274775.0)	(44.0, 1316527.0)	(45.0, 1385498.0)	(46.0, 1454469.0)	(47.0, 1508867.5)	(48.0, 1563266.0)	(49.0, 1599964.0)	(50.0, 1636662.0)	(51.0, 1650905.0)	(52.0, 1665148.0)	(53.0, 1670091.5)	(54.0, 1675035.0)	(55.0, 1619843.5)	(56.0, 1564652.0)	(57.0, 1495530.0)	(58.0, 1426408.0)	(59.0, 1334174.5)	(60.0, 1241941.0)	(61.0, 1112483.0)	(62.0, 983025.0)	(63.0, 865808.5)	(64.0, 748592.0)	(65.0, 640902.0)	(66.0, 533212.0)	(67.0, 451498.5)	(68.0, 369785.0)	(69.0, 308639.5)	(70.0, 247494.0)	(71.0, 209137.5)	(72.0, 170781.0)	(73.0, 145449.5)	(74.0, 120118.0)	(75.0, 108177.0)	(76.0, 96236.0)	(77.0, 84607.0)	(78.0, 72978.0)	(79.0, 62510.5)	(80.0, 52043.0)	(81.0, 44108.5)	(82.0, 36174.0)	(83.0, 30682.5)	(84.0, 25191.0)	(85.0, 21156.0)	(86.0, 17121.0)	(87.0, 13404.0)	(88.0, 9687.0)	(89.0, 7341.5)	(90.0, 4996.0)	(91.0, 3667.5)	(92.0, 2339.0)	(93.0, 1598.5)	(94.0, 858.0)	(95.0, 611.5)	(96.0, 365.0)	(97.0, 211.5)	(98.0, 58.0)	(99.0, 32.5)	(100.0, 7.0)
SRR17133386	(0.0, 214.0)	(1.0, 343.5)	(2.0, 473.0)	(3.0, 783.0)	(4.0, 1093.0)	(5.0, 987.0)	(6.0, 881.0)	(7.0, 1505.0)	(8.0, 2129.0)	(9.0, 3038.0)	(10.0, 3947.0)	(11.0, 6098.0)	(12.0, 8249.0)	(13.0, 11459.0)	(14.0, 14669.0)	(15.0, 21608.5)	(16.0, 28548.0)	(17.0, 39075.0)	(18.0, 49602.0)	(19.0, 63323.0)	(20.0, 77044.0)	(21.0, 96719.5)	(22.0, 116395.0)	(23.0, 141456.5)	(24.0, 166518.0)	(25.0, 200919.5)	(26.0, 235321.0)	(27.0, 277807.0)	(28.0, 320293.0)	(29.0, 362865.5)	(30.0, 405438.0)	(31.0, 460847.5)	(32.0, 516257.0)	(33.0, 579890.5)	(34.0, 643524.0)	(35.0, 711992.0)	(36.0, 780460.0)	(37.0, 843772.5)	(38.0, 907085.0)	(39.0, 1002396.0)	(40.0, 1097707.0)	(41.0, 1153353.5)	(42.0, 1209000.0)	(43.0, 1251810.5)	(44.0, 1294621.0)	(45.0, 1363754.5)	(46.0, 1432888.0)	(47.0, 1488229.5)	(48.0, 1543571.0)	(49.0, 1582207.5)	(50.0, 1620844.0)	(51.0, 1639506.5)	(52.0, 1658169.0)	(53.0, 1666136.0)	(54.0, 1674103.0)	(55.0, 1622661.5)	(56.0, 1571220.0)	(57.0, 1503563.0)	(58.0, 1435906.0)	(59.0, 1347212.5)	(60.0, 1258519.0)	(61.0, 1132251.0)	(62.0, 1005983.0)	(63.0, 883067.0)	(64.0, 760151.0)	(65.0, 651795.0)	(66.0, 543439.0)	(67.0, 462829.5)	(68.0, 382220.0)	(69.0, 320105.0)	(70.0, 257990.0)	(71.0, 217939.5)	(72.0, 177889.0)	(73.0, 152498.5)	(74.0, 127108.0)	(75.0, 114307.0)	(76.0, 101506.0)	(77.0, 89206.0)	(78.0, 76906.0)	(79.0, 66599.0)	(80.0, 56292.0)	(81.0, 47693.5)	(82.0, 39095.0)	(83.0, 33270.5)	(84.0, 27446.0)	(85.0, 23301.0)	(86.0, 19156.0)	(87.0, 15161.0)	(88.0, 11166.0)	(89.0, 8417.0)	(90.0, 5668.0)	(91.0, 4157.0)	(92.0, 2646.0)	(93.0, 1810.5)	(94.0, 975.0)	(95.0, 709.0)	(96.0, 443.0)	(97.0, 258.0)	(98.0, 73.0)	(99.0, 42.5)	(100.0, 12.0)
SRR17133387	(0.0, 230.0)	(1.0, 341.5)	(2.0, 453.0)	(3.0, 729.5)	(4.0, 1006.0)	(5.0, 961.5)	(6.0, 917.0)	(7.0, 1490.5)	(8.0, 2064.0)	(9.0, 2897.5)	(10.0, 3731.0)	(11.0, 5691.0)	(12.0, 7651.0)	(13.0, 10710.0)	(14.0, 13769.0)	(15.0, 20365.0)	(16.0, 26961.0)	(17.0, 37031.0)	(18.0, 47101.0)	(19.0, 60671.5)	(20.0, 74242.0)	(21.0, 93063.5)	(22.0, 111885.0)	(23.0, 137091.5)	(24.0, 162298.0)	(25.0, 195884.5)	(26.0, 229471.0)	(27.0, 270695.0)	(28.0, 311919.0)	(29.0, 356650.0)	(30.0, 401381.0)	(31.0, 458161.0)	(32.0, 514941.0)	(33.0, 580331.0)	(34.0, 645721.0)	(35.0, 714072.0)	(36.0, 782423.0)	(37.0, 845729.5)	(38.0, 909036.0)	(39.0, 1002709.5)	(40.0, 1096383.0)	(41.0, 1153870.0)	(42.0, 1211357.0)	(43.0, 1256209.0)	(44.0, 1301061.0)	(45.0, 1370411.0)	(46.0, 1439761.0)	(47.0, 1492607.0)	(48.0, 1545453.0)	(49.0, 1580718.5)	(50.0, 1615984.0)	(51.0, 1627900.5)	(52.0, 1639817.0)	(53.0, 1641196.5)	(54.0, 1642576.0)	(55.0, 1587568.0)	(56.0, 1532560.0)	(57.0, 1464821.0)	(58.0, 1397082.0)	(59.0, 1305007.5)	(60.0, 1212933.0)	(61.0, 1087569.5)	(62.0, 962206.0)	(63.0, 842941.0)	(64.0, 723676.0)	(65.0, 618264.5)	(66.0, 512853.0)	(67.0, 433946.0)	(68.0, 355039.0)	(69.0, 296508.0)	(70.0, 237977.0)	(71.0, 200688.0)	(72.0, 163399.0)	(73.0, 139140.0)	(74.0, 114881.0)	(75.0, 103168.0)	(76.0, 91455.0)	(77.0, 79934.5)	(78.0, 68414.0)	(79.0, 59441.5)	(80.0, 50469.0)	(81.0, 42683.0)	(82.0, 34897.0)	(83.0, 29363.5)	(84.0, 23830.0)	(85.0, 20170.5)	(86.0, 16511.0)	(87.0, 12889.0)	(88.0, 9267.0)	(89.0, 7011.0)	(90.0, 4755.0)	(91.0, 3414.0)	(92.0, 2073.0)	(93.0, 1471.0)	(94.0, 869.0)	(95.0, 596.0)	(96.0, 323.0)	(97.0, 190.0)	(98.0, 57.0)	(99.0, 31.5)	(100.0, 6.0)
