Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR17133380	(1, 35.635909994505454)	(2, 35.57060039802737)	(3, 35.86503176286489)	(4, 35.83245806503453)	(5, 35.80949695840309)	(6, 35.8038696468489)	(7, 35.79523257098521)	(8, 35.85713017422105)	(9, 35.849267092761494)	(10, 35.690134656200584)	(11, 35.71052352570752)	(12, 35.77313402528176)	(13, 35.824412844593304)	(14, 35.80098336224367)	(15, 35.800085503063414)	(16, 35.6677232610177)	(17, 35.77650704069636)	(18, 35.793493714900166)	(19, 35.79133483100609)	(20, 35.78139424416858)	(21, 35.780431692918725)	(22, 35.78223301621384)	(23, 35.765997446032394)	(24, 35.78219480852987)	(25, 35.75594129485627)	(26, 35.74755169183025)	(27, 35.760021387745866)	(28, 35.76855286835309)	(29, 35.741303173822025)	(30, 35.74753723024327)	(31, 35.737344121848366)	(32, 35.73515297749101)	(33, 35.72857055940927)	(34, 35.71668617269479)	(35, 35.71113895608393)	(36, 35.702287437989526)	(37, 35.70179274902874)	(38, 35.67933891037162)	(39, 35.66604208013756)	(40, 35.66805202679998)	(41, 35.64313505470716)	(42, 35.657918219468876)	(43, 35.636784792160896)	(44, 35.623750965995505)	(45, 35.63113073950652)	(46, 35.61800941646128)	(47, 35.60518066244508)	(48, 35.5837797385636)	(49, 35.38019362439117)	(50, 35.50696167106119)
SRR17133381	(1, 35.630584001496345)	(2, 35.52153739453013)	(3, 35.83012742314746)	(4, 35.78751047766336)	(5, 35.76279784767971)	(6, 35.75516426762003)	(7, 35.726110221117445)	(8, 35.79781216899809)	(9, 35.7828011330532)	(10, 35.62325550990663)	(11, 35.637929868873954)	(12, 35.70260959451364)	(13, 35.7586820211837)	(14, 35.73742042511215)	(15, 35.73859113990862)	(16, 35.58667627114748)	(17, 35.708635829844646)	(18, 35.72255826424314)	(19, 35.719579455323874)	(20, 35.70949095478478)	(21, 35.71089113963449)	(22, 35.7117145495443)	(23, 35.69909365444239)	(24, 35.71655589953336)	(25, 35.69163653141317)	(26, 35.68524818803639)	(27, 35.69331869324797)	(28, 35.69909719707876)	(29, 35.66682099627791)	(30, 35.6736495543975)	(31, 35.66278897000167)	(32, 35.662978543221534)	(33, 35.658123107035486)	(34, 35.646151948312934)	(35, 35.64191061127136)	(36, 35.63416219074946)	(37, 35.631503526504716)	(38, 35.606623802172436)	(39, 35.59463058632108)	(40, 35.59071070135554)	(41, 35.56642145859196)	(42, 35.581866425317536)	(43, 35.56230318598988)	(44, 35.54698381415836)	(45, 35.560367472609414)	(46, 35.544895092626234)	(47, 35.530116731976996)	(48, 35.50736014335868)	(49, 35.28263448153411)	(50, 35.4212120835109)
SRR17133382	(1, 35.47484352169803)	(2, 35.48705131719685)	(3, 35.83123452324223)	(4, 35.80633229359897)	(5, 35.79577346427727)	(6, 35.77593997113648)	(7, 35.83506369264543)	(8, 35.83144627125882)	(9, 35.804292724284444)	(10, 35.7146477099538)	(11, 35.74348819258321)	(12, 35.79004590488902)	(13, 35.82768662166214)	(14, 35.72774596313126)	(15, 35.80118107312569)	(16, 35.75959723656042)	(17, 35.763307504858204)	(18, 35.77193186270203)	(19, 35.763188435931895)	(20, 35.75456185446119)	(21, 35.7618658394439)	(22, 35.749336037599264)	(23, 35.74403541457258)	(24, 35.744514417367384)	(25, 35.73781920268795)	(26, 35.72525755682814)	(27, 35.723454824754285)	(28, 35.716282998727834)	(29, 35.70990341320014)	(30, 35.68779506584747)	(31, 35.680217197161106)	(32, 35.66720432286492)	(33, 35.67414128354624)	(34, 35.66383057742052)	(35, 35.65941428660973)	(36, 35.64746304730695)	(37, 35.6362920493088)	(38, 35.62322559819129)	(39, 35.60867909262933)	(40, 35.59924050974926)	(41, 35.58465976872434)	(42, 35.57360586775697)	(43, 35.56947172582899)	(44, 35.55473155495207)	(45, 35.563506657916484)	(46, 35.532968834736444)	(47, 35.535614866816914)	(48, 35.491914431145474)	(49, 35.49530718230644)	(50, 35.47498147047523)
SRR17133383	(1, 35.807580684384895)	(2, 35.76486091464871)	(3, 36.13059472873781)	(4, 36.102105982739516)	(5, 36.113712837147496)	(6, 36.105510810302896)	(7, 36.12647998308364)	(8, 36.147972567268106)	(9, 36.12446780078854)	(10, 36.06240878118783)	(11, 36.09098008470763)	(12, 36.118893772979945)	(13, 36.16197216733737)	(14, 36.14427279762493)	(15, 36.141379290536)	(16, 36.10001348603648)	(17, 36.11194302053844)	(18, 36.11941083801355)	(19, 36.11415965442921)	(20, 36.09649732344576)	(21, 36.106954171821954)	(22, 36.099345804132966)	(23, 36.09657063496254)	(24, 36.097106027875334)	(25, 36.09240484479706)	(26, 36.079695253872586)	(27, 36.078584584393454)	(28, 36.07531576610672)	(29, 36.06777874037137)	(30, 36.05453988406386)	(31, 36.04558685185302)	(32, 36.03732437036212)	(33, 36.03924059116438)	(34, 36.032797931302184)	(35, 36.02472589562464)	(36, 36.014724235173496)	(37, 36.00635474075215)	(38, 35.99545578016174)	(39, 35.987030590871676)	(40, 35.9761612831485)	(41, 35.96397597898914)	(42, 35.95805098597151)	(43, 35.950186629784774)	(44, 35.93532917554908)	(45, 35.94206168945296)	(46, 35.91268565526135)	(47, 35.918241957001705)	(48, 35.869062621986394)	(49, 35.883813446262245)	(50, 35.86937353941164)
SRR17133384	(1, 35.46265555410222)	(2, 35.37756203592001)	(3, 35.72221929060799)	(4, 35.69014201986848)	(5, 35.67737125332684)	(6, 35.669127865972584)	(7, 35.70143197816035)	(8, 35.71611810238731)	(9, 35.703846583512366)	(10, 35.58313582362111)	(11, 35.58196012156344)	(12, 35.639653166957366)	(13, 35.70085278163098)	(14, 35.67608163934371)	(15, 35.67629645805487)	(16, 35.60355857112623)	(17, 35.64482074520012)	(18, 35.65848685479771)	(19, 35.65554020824316)	(20, 35.64376405420542)	(21, 35.64332959833205)	(22, 35.650028274483674)	(23, 35.63492776346589)	(24, 35.65313706425531)	(25, 35.62339898776974)	(26, 35.61599915681785)	(27, 35.62857489304442)	(28, 35.6354162514846)	(29, 35.60153089207212)	(30, 35.60988126775225)	(31, 35.59995745728747)	(32, 35.60373011734004)	(33, 35.59742538464806)	(34, 35.58343971350519)	(35, 35.58280971272488)	(36, 35.57198363560459)	(37, 35.56954708992689)	(38, 35.54384720289384)	(39, 35.53133990738469)	(40, 35.53049101793942)	(41, 35.49878411299614)	(42, 35.52176835843887)	(43, 35.49921768002903)	(44, 35.48788332649394)	(45, 35.500992788041856)	(46, 35.48383395636373)	(47, 35.47234817247847)	(48, 35.450075280111065)	(49, 35.27074881162027)	(50, 35.393492677170705)
SRR17133385	(1, 35.5149362301788)	(2, 35.47306831289448)	(3, 35.84087992385813)	(4, 35.81489896133874)	(5, 35.815904347449624)	(6, 35.80437256959675)	(7, 35.861001363895234)	(8, 35.86493498005337)	(9, 35.83617429231993)	(10, 35.75011708389533)	(11, 35.79231301227875)	(12, 35.82958009041847)	(13, 35.86584698431151)	(14, 35.76680416088728)	(15, 35.83996351479561)	(16, 35.797361211745745)	(17, 35.804217814136386)	(18, 35.813662218121884)	(19, 35.80645465769888)	(20, 35.79475507777458)	(21, 35.802669630274984)	(22, 35.790237468457406)	(23, 35.78561385018161)	(24, 35.78469601480148)	(25, 35.78030316632441)	(26, 35.7679012508302)	(27, 35.76490069809018)	(28, 35.760110452357466)	(29, 35.75363853621555)	(30, 35.7333955235777)	(31, 35.72558274303361)	(32, 35.7121716239314)	(33, 35.71737122281732)	(34, 35.70988242612262)	(35, 35.70158117374864)	(36, 35.69053786772565)	(37, 35.67991406688121)	(38, 35.664629269849556)	(39, 35.653730021904884)	(40, 35.64641813054397)	(41, 35.631594537505606)	(42, 35.61960524730502)	(43, 35.61658988603219)	(44, 35.599122319655564)	(45, 35.60797090043598)	(46, 35.57661767069917)	(47, 35.5807420778125)	(48, 35.53358218660195)	(49, 35.53892244557424)	(50, 35.520053606049736)
SRR17133386	(1, 35.5098241077254)	(2, 35.386289137374526)	(3, 35.68999197832)	(4, 35.640118995294294)	(5, 35.603673834807466)	(6, 35.59858327025998)	(7, 35.564977297817585)	(8, 35.645398779900276)	(9, 35.62585888332199)	(10, 35.45127746141119)	(11, 35.46154925052972)	(12, 35.535306713928165)	(13, 35.590187079028674)	(14, 35.56677457152789)	(15, 35.567848339383815)	(16, 35.3973091885328)	(17, 35.53657050451754)	(18, 35.55216774622223)	(19, 35.54972892399479)	(20, 35.53981428298398)	(21, 35.54325053445478)	(22, 35.54315552308806)	(23, 35.52751252891108)	(24, 35.546153007082296)	(25, 35.52077580477458)	(26, 35.514411733046195)	(27, 35.5221419575434)	(28, 35.52853399615696)	(29, 35.497168458490634)	(30, 35.502042849999654)	(31, 35.49241696074142)	(32, 35.49340944719692)	(33, 35.48890673643686)	(34, 35.47610445116213)	(35, 35.47169578010965)	(36, 35.45991111769023)	(37, 35.457502754864926)	(38, 35.433390357051785)	(39, 35.42085489782962)	(40, 35.41907904286673)	(41, 35.39541436869277)	(42, 35.4081106163817)	(43, 35.38756032102267)	(44, 35.37260205082605)	(45, 35.383863538160774)	(46, 35.36831880829638)	(47, 35.35575825492044)	(48, 35.3321686097315)	(49, 35.0968456057264)	(50, 35.24244670196071)
SRR17133387	(1, 35.587362939883704)	(2, 35.589606230437646)	(3, 35.94374237694884)	(4, 35.91283581201287)	(5, 35.91572412170324)	(6, 35.90710202190279)	(7, 35.9602232609037)	(8, 35.95720298029802)	(9, 35.928240116027766)	(10, 35.85316702675935)	(11, 35.879002881257485)	(12, 35.92449289885532)	(13, 35.970479452184385)	(14, 35.935289745176156)	(15, 35.94634679221663)	(16, 35.90443357773538)	(17, 35.91028248226068)	(18, 35.91793374225826)	(19, 35.912051726750626)	(20, 35.89830705697376)	(21, 35.90511695400979)	(22, 35.895917820089885)	(23, 35.89476856799388)	(24, 35.89531102908761)	(25, 35.89142083267326)	(26, 35.87893167114482)	(27, 35.876414419462996)	(28, 35.8701058312998)	(29, 35.860452775912954)	(30, 35.842738830375616)	(31, 35.8350461171482)	(32, 35.82459474307684)	(33, 35.832450775149596)	(34, 35.82587192396824)	(35, 35.82116939045348)	(36, 35.80919882431072)	(37, 35.79994047763409)	(38, 35.78563016907586)	(39, 35.77280757565516)	(40, 35.76287372193758)	(41, 35.7497092253733)	(42, 35.73971061173443)	(43, 35.738619540364525)	(44, 35.7227662600294)	(45, 35.73258555834835)	(46, 35.7055848422911)	(47, 35.7094705235715)	(48, 35.66447996579163)	(49, 35.670626439145195)	(50, 35.64990932750993)
