Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR17133380	(0.0, 0.0003444259894866641)	(1.0, 0.0004567388121453589)	(2.0, 0.0005690516348040537)	(3.0, 0.0009519848777736988)	(4.0, 0.001334918120743344)	(5.0, 0.0013819825416669874)	(6.0, 0.0014290469625906311)	(7.0, 0.0025543144810377446)	(8.0, 0.003679581999484859)	(9.0, 0.0054241745114499175)	(10.0, 0.007168767023414978)	(11.0, 0.011032328122874078)	(12.0, 0.014895889222333179)	(13.0, 0.021104114200533798)	(14.0, 0.02731233917873441)	(15.0, 0.03902603175907124)	(16.0, 0.050739724339408064)	(17.0, 0.07061909394999705)	(18.0, 0.09049846356058604)	(19.0, 0.11872535000954125)	(20.0, 0.14695223645849645)	(21.0, 0.18618150094428343)	(22.0, 0.22541076543007038)	(23.0, 0.28049646118340493)	(24.0, 0.33558215693673943)	(25.0, 0.40466844826892784)	(26.0, 0.4737547396011162)	(27.0, 0.5600805143884492)	(28.0, 0.6464062891757821)	(29.0, 0.742004824531003)	(30.0, 0.8376033598862239)	(31.0, 0.953950886993191)	(32.0, 1.0702984141001581)	(33.0, 1.2072163020885478)	(34.0, 1.3441341900769375)	(35.0, 1.4907997614261717)	(36.0, 1.6374653327754058)	(37.0, 1.7754806774880605)	(38.0, 1.9134960222007151)	(39.0, 2.1230417991957977)	(40.0, 2.3325875761908796)	(41.0, 2.4625089101505977)	(42.0, 2.5924302441103158)	(43.0, 2.686499185785518)	(44.0, 2.7805681274607204)	(45.0, 2.9447341758720396)	(46.0, 3.1089002242833588)	(47.0, 3.2230464200662152)	(48.0, 3.3371926158490726)	(49.0, 3.4166737263298055)	(50.0, 3.496154836810538)	(51.0, 3.536148898136335)	(52.0, 3.576142959462131)	(53.0, 3.5749385381448575)	(54.0, 3.5737341168275845)	(55.0, 3.4490337246526)	(56.0, 3.3243333324776163)	(57.0, 3.169267831639442)	(58.0, 3.0142023308012673)	(59.0, 2.817193873752686)	(60.0, 2.6201854167041043)	(61.0, 2.344488456808981)	(62.0, 2.0687914969138577)	(63.0, 1.8165989366863737)	(64.0, 1.5644063764588902)	(65.0, 1.3448112759506798)	(66.0, 1.1252161754424699)	(67.0, 0.9543616310303429)	(68.0, 0.783507086618216)	(69.0, 0.6572717525335633)	(70.0, 0.5310364184489107)	(71.0, 0.4515007560257434)	(72.0, 0.37196509360257607)	(73.0, 0.31923475818728386)	(74.0, 0.2665044227719917)	(75.0, 0.24144903650573205)	(76.0, 0.21639365023947235)	(77.0, 0.1902215536222062)	(78.0, 0.16404945700494006)	(79.0, 0.14061672361461597)	(80.0, 0.1171839902242919)	(81.0, 0.09712812903523926)	(82.0, 0.07707226784618662)	(83.0, 0.06451569427294454)	(84.0, 0.05195912069970247)	(85.0, 0.04375493641596733)	(86.0, 0.035550752132232195)	(87.0, 0.028315667061152086)	(88.0, 0.021080581990071973)	(89.0, 0.016483243782576065)	(90.0, 0.01188590557508016)	(91.0, 0.008500476206368074)	(92.0, 0.005115046837655986)	(93.0, 0.003572617406476578)	(94.0, 0.0020301879752971687)	(95.0, 0.0013659378527157455)	(96.0, 0.0007016877301343219)	(97.0, 0.0004096743912217153)	(98.0, 0.00011766105230910885)	(99.0, 6.631804766513407e-05)	(100.0, 1.4975043021159309e-05)
SRR17133381	(0.0, 0.0003331771196559655)	(1.0, 0.0005282333447710086)	(2.0, 0.0007232895698860517)	(3.0, 0.001064901553330776)	(4.0, 0.0014065135367755)	(5.0, 0.0015435800733428278)	(6.0, 0.0016806466099101554)	(7.0, 0.002880505983861069)	(8.0, 0.004080365357811983)	(9.0, 0.006036199398830389)	(10.0, 0.007992033439848794)	(11.0, 0.012092431599159077)	(12.0, 0.016192829758469363)	(13.0, 0.02315475545811601)	(14.0, 0.030116681157762656)	(15.0, 0.04249589812573953)	(16.0, 0.054875115093716405)	(17.0, 0.07592853511045791)	(18.0, 0.09698195512719943)	(19.0, 0.12616974691022506)	(20.0, 0.15535753869325067)	(21.0, 0.1949381370220005)	(22.0, 0.2345187353507503)	(23.0, 0.28842489546673306)	(24.0, 0.3423310555827158)	(25.0, 0.41016739324583346)	(26.0, 0.478003730908951)	(27.0, 0.5601951523825622)	(28.0, 0.6423865738561735)	(29.0, 0.7329928263170449)	(30.0, 0.8235990787779165)	(31.0, 0.9332438731679897)	(32.0, 1.042888667558063)	(33.0, 1.1722141078832575)	(34.0, 1.3015395482084517)	(35.0, 1.441976867217362)	(36.0, 1.5824141862262724)	(37.0, 1.7184854088665265)	(38.0, 1.8545566315067805)	(39.0, 2.0503751574367324)	(40.0, 2.246193683366685)	(41.0, 2.3778808855527314)	(42.0, 2.5095680877387783)	(43.0, 2.608535398930257)	(44.0, 2.707502710121735)	(45.0, 2.8733426757884657)	(46.0, 3.0391826414551963)	(47.0, 3.1663361043547855)	(48.0, 3.2934895672543743)	(49.0, 3.3737156654652045)	(50.0, 3.453941763676035)	(51.0, 3.5020036175443816)	(52.0, 3.5500654714127284)	(53.0, 3.5637215158867286)	(54.0, 3.577377560360729)	(55.0, 3.465708398661353)	(56.0, 3.3540392369619783)	(57.0, 3.2063479350947355)	(58.0, 3.0586566332274927)	(59.0, 2.868631804362444)	(60.0, 2.6786069754973956)	(61.0, 2.405237257535623)	(62.0, 2.1318675395738502)	(63.0, 1.8782786315546904)	(64.0, 1.6246897235355304)	(65.0, 1.4019049380729172)	(66.0, 1.1791201526103035)	(67.0, 1.006957202175925)	(68.0, 0.8347942517415463)	(69.0, 0.7034845097100465)	(70.0, 0.5721747676785466)	(71.0, 0.4907034727009007)	(72.0, 0.4092321777232549)	(73.0, 0.35362112076396923)	(74.0, 0.29801006380468364)	(75.0, 0.2712483497188997)	(76.0, 0.24448663563311582)	(77.0, 0.21584183820649153)	(78.0, 0.18719704077986726)	(79.0, 0.1620558748994986)	(80.0, 0.13691470901912994)	(81.0, 0.11357122348374046)	(82.0, 0.09022773794835097)	(83.0, 0.0753001377581954)	(84.0, 0.06037253756803983)	(85.0, 0.05138729891706471)	(86.0, 0.042402060266089586)	(87.0, 0.03352225741247395)	(88.0, 0.02464245455885831)	(89.0, 0.0193443057415443)	(90.0, 0.014046156924230294)	(91.0, 0.010103912460959234)	(92.0, 0.0061616679976881725)	(93.0, 0.004186855513145061)	(94.0, 0.0022120430286019484)	(95.0, 0.0015003513964254396)	(96.0, 0.000788659764248931)	(97.0, 0.00045337392864577586)	(98.0, 0.0001180880930426207)	(99.0, 7.380505815163793e-05)	(100.0, 2.9522023260655175e-05)
SRR17133382	(0.0, 0.0003272513186287708)	(1.0, 0.0005863252792098811)	(2.0, 0.0008453992397909913)	(3.0, 0.001321591863693113)	(4.0, 0.0017977844875952346)	(5.0, 0.0018323976078348163)	(6.0, 0.0018670107280743978)	(7.0, 0.0032599265971096788)	(8.0, 0.004652842466144959)	(9.0, 0.006605861553602561)	(10.0, 0.008558880641060161)	(11.0, 0.013065928449226277)	(12.0, 0.017572976257392393)	(13.0, 0.024595244136301434)	(14.0, 0.03161751201521047)	(15.0, 0.045781620370219836)	(16.0, 0.0599457287252292)	(17.0, 0.08279668137794202)	(18.0, 0.10564763403065486)	(19.0, 0.13846296978264117)	(20.0, 0.17127830553462742)	(21.0, 0.21403704673725715)	(22.0, 0.2567957879398869)	(23.0, 0.3129456111455086)	(24.0, 0.3690954343511304)	(25.0, 0.4472812285601875)	(26.0, 0.5254670227692447)	(27.0, 0.6203950783499443)	(28.0, 0.715323133930644)	(29.0, 0.8191278815291488)	(30.0, 0.9229326291276538)	(31.0, 1.0454022395947453)	(32.0, 1.1678718500618368)	(33.0, 1.3077508111270064)	(34.0, 1.4476297721921758)	(35.0, 1.5938439831436204)	(36.0, 1.7400581940950646)	(37.0, 1.8749717457295014)	(38.0, 2.009885297363938)	(39.0, 2.200775606602799)	(40.0, 2.3916659158416596)	(41.0, 2.5102724923135273)	(42.0, 2.628879068785395)	(43.0, 2.7283802517674456)	(44.0, 2.827881434749496)	(45.0, 2.958633020895731)	(46.0, 3.089384607041966)	(47.0, 3.1996473237712317)	(48.0, 3.3099100405004975)	(49.0, 3.3686411633700466)	(50.0, 3.427372286239596)	(51.0, 3.4410832773841964)	(52.0, 3.4547942685287962)	(53.0, 3.444142867436889)	(54.0, 3.433491466344982)	(55.0, 3.3193153692637796)	(56.0, 3.2051392721825787)	(57.0, 3.053382766463075)	(58.0, 2.901626260743572)	(59.0, 2.7096618958948526)	(60.0, 2.5176975310461334)	(61.0, 2.2576585986280406)	(62.0, 1.9976196662099484)	(63.0, 1.756364120375202)	(64.0, 1.5151085745404558)	(65.0, 1.3017553991485382)	(66.0, 1.0884022237566207)	(67.0, 0.9265376380447279)	(68.0, 0.7646730523328351)	(69.0, 0.6445655251014872)	(70.0, 0.5244579978701394)	(71.0, 0.44730010844395457)	(72.0, 0.37014221901776984)	(73.0, 0.32092655756681093)	(74.0, 0.27171089611585203)	(75.0, 0.24477979080459455)	(76.0, 0.21784868549333714)	(77.0, 0.19230944716868348)	(78.0, 0.16677020884402982)	(79.0, 0.14323118931625137)	(80.0, 0.11969216978847293)	(81.0, 0.09979277229800805)	(82.0, 0.07989337480754319)	(83.0, 0.06763928136029981)	(84.0, 0.05538518791305645)	(85.0, 0.04666163273025041)	(86.0, 0.03793807754744436)	(87.0, 0.02983965629381379)	(88.0, 0.021741235040183212)	(89.0, 0.017325440003557808)	(90.0, 0.012909644966932409)	(91.0, 0.009363373466022555)	(92.0, 0.005817101965112702)	(93.0, 0.0039385535302917775)	(94.0, 0.0020600050954708523)	(95.0, 0.0013992091636242958)	(96.0, 0.0007384132317777393)	(97.0, 0.0004415795036625401)	(98.0, 0.00014474577554734094)	(99.0, 8.286171208869517e-05)	(100.0, 2.0977648630049413e-05)
SRR17133383	(0.0, 0.0003720293253209888)	(1.0, 0.0005730892915790232)	(2.0, 0.0007741492578370576)	(3.0, 0.0013828001761011753)	(4.0, 0.001991451094365293)	(5.0, 0.0020078641528353367)	(6.0, 0.0020242772113053804)	(7.0, 0.0035725757269794954)	(8.0, 0.005120874242653611)	(9.0, 0.00699469841798359)	(10.0, 0.008868522593313572)	(11.0, 0.013774659320984112)	(12.0, 0.018680796048654653)	(13.0, 0.02638262373572262)	(14.0, 0.034084451422790596)	(15.0, 0.049389628446106275)	(16.0, 0.06469480546942195)	(17.0, 0.08950040783714788)	(18.0, 0.11430601020487381)	(19.0, 0.1495188593974799)	(20.0, 0.184731708590086)	(21.0, 0.2300645760843465)	(22.0, 0.27539744357860696)	(23.0, 0.33452138345232163)	(24.0, 0.3936453233260363)	(25.0, 0.4764957069730714)	(26.0, 0.5593460906201067)	(27.0, 0.655221603917994)	(28.0, 0.7510971172158813)	(29.0, 0.8541068399287477)	(30.0, 0.9571165626416139)	(31.0, 1.0798137489892976)	(32.0, 1.2025109353369812)	(33.0, 1.3465396266762315)	(34.0, 1.4905683180154818)	(35.0, 1.634605215883967)	(36.0, 1.7786421137524524)	(37.0, 1.9079510271538185)	(38.0, 2.0372599405551846)	(39.0, 2.227972841202729)	(40.0, 2.4186857418502736)	(41.0, 2.526228204210617)	(42.0, 2.6337706665709604)	(43.0, 2.7290320579310934)	(44.0, 2.824293449291227)	(45.0, 2.953763757767548)	(46.0, 3.08323406624387)	(47.0, 3.1901760842151843)	(48.0, 3.2971181021864986)	(49.0, 3.3532466588894296)	(50.0, 3.409375215592362)	(51.0, 3.426381879677072)	(52.0, 3.443388543761782)	(53.0, 3.4390801159133955)	(54.0, 3.4347716880650094)	(55.0, 3.3170367163947687)	(56.0, 3.199301744724528)	(57.0, 3.0466329458556727)	(58.0, 2.893964146986817)	(59.0, 2.6960541202001584)	(60.0, 2.4981440934135)	(61.0, 2.239635687000568)	(62.0, 1.9811272805876357)	(63.0, 1.7380758719888671)	(64.0, 1.4950244633900986)	(65.0, 1.2800161329422721)	(66.0, 1.0650078024944456)	(67.0, 0.9009647541058498)	(68.0, 0.7369217057172537)	(69.0, 0.6158836060299169)	(70.0, 0.4948455063425803)	(71.0, 0.4210688085197342)	(72.0, 0.3472921106968881)	(73.0, 0.2957660491399311)	(74.0, 0.24423998758297416)	(75.0, 0.2182157156238475)	(76.0, 0.19219144366472082)	(77.0, 0.168931404302924)	(78.0, 0.14567136494112717)	(79.0, 0.12388029431239925)	(80.0, 0.10208922368367135)	(81.0, 0.08449168949403957)	(82.0, 0.0668941553044078)	(83.0, 0.0560629044690515)	(84.0, 0.04523165363369522)	(85.0, 0.03813847686489137)	(86.0, 0.031045300096087514)	(87.0, 0.024605910156340397)	(88.0, 0.018166520216593287)	(89.0, 0.014268418829957923)	(90.0, 0.010370317443322563)	(91.0, 0.007377669782284609)	(92.0, 0.004385022121246656)	(93.0, 0.003014531738998012)	(94.0, 0.0016440413567493696)	(95.0, 0.0010969394077479156)	(96.0, 0.0005498374587464615)	(97.0, 0.00032415790478336156)	(98.0, 9.847835082026174e-05)	(99.0, 6.0181214390159954e-05)	(100.0, 2.1884077960058164e-05)
SRR17133384	(0.0, 0.00043740408395070854)	(1.0, 0.000588273407024616)	(2.0, 0.0007391427300985236)	(3.0, 0.0011601733991419864)	(4.0, 0.0015812040681854492)	(5.0, 0.0015987470127289266)	(6.0, 0.0016162899572724043)	(7.0, 0.0028068711269564183)	(8.0, 0.003997452296640433)	(9.0, 0.005852326299704132)	(10.0, 0.0077072003027678325)	(11.0, 0.011929202289564778)	(12.0, 0.016151204276361724)	(13.0, 0.022883016862512203)	(14.0, 0.02961482944866268)	(15.0, 0.04285273540117089)	(16.0, 0.0560906413536791)	(17.0, 0.07809183287047249)	(18.0, 0.10009302438726587)	(19.0, 0.13002830495625609)	(20.0, 0.15996358552524628)	(21.0, 0.20163743505309545)	(22.0, 0.24331128458094467)	(23.0, 0.299660391984231)	(24.0, 0.35600949938751736)	(25.0, 0.4299144161602798)	(26.0, 0.5038193329330423)	(27.0, 0.5937362799554549)	(28.0, 0.6836532269778676)	(29.0, 0.7820352295073264)	(30.0, 0.8804172320367849)	(31.0, 1.0045756677487936)	(32.0, 1.1287341034608018)	(33.0, 1.272029552610472)	(34.0, 1.4153250017601422)	(35.0, 1.5605805825801367)	(36.0, 1.7058361634001313)	(37.0, 1.840019807153919)	(38.0, 1.974203450907707)	(39.0, 2.1763391055858374)	(40.0, 2.3784747602639675)	(41.0, 2.495437080124242)	(42.0, 2.612399399984515)	(43.0, 2.7018532132709803)	(44.0, 2.791307026557445)	(45.0, 2.9360550315153153)	(46.0, 3.0808030364731853)	(47.0, 3.1975571800582094)	(48.0, 3.314311323643235)	(49.0, 3.385714616524097)	(50.0, 3.4571179094049596)	(51.0, 3.482849900461333)	(52.0, 3.508581891517706)	(53.0, 3.510007548144272)	(54.0, 3.511433204770839)	(55.0, 3.394239318042591)	(56.0, 3.277045431314343)	(57.0, 3.1242148070404747)	(58.0, 2.9713841827666068)	(59.0, 2.7817239007181613)	(60.0, 2.5920636186697164)	(61.0, 2.321908120348342)	(62.0, 2.0517526220269677)	(63.0, 1.8016873037967844)	(64.0, 1.5516219855666007)	(65.0, 1.328764604793715)	(66.0, 1.105907224020829)	(67.0, 0.9353769382322279)	(68.0, 0.7648466524436269)	(69.0, 0.637684864625775)	(70.0, 0.5105230768079233)	(71.0, 0.4312523580641291)	(72.0, 0.3519816393203349)	(73.0, 0.2985832551892615)	(74.0, 0.24518487105818806)	(75.0, 0.22132646647905854)	(76.0, 0.19746806189992896)	(77.0, 0.17298278943577913)	(78.0, 0.14849751697162933)	(79.0, 0.12799332338921268)	(80.0, 0.10748912980679604)	(81.0, 0.09131570446734591)	(82.0, 0.07514227912789578)	(83.0, 0.06338850628376579)	(84.0, 0.05163473343963578)	(85.0, 0.043612929664721585)	(86.0, 0.03559112588980739)	(87.0, 0.02805233785465694)	(88.0, 0.02051354981950649)	(89.0, 0.015468198968802329)	(90.0, 0.010422848118098167)	(91.0, 0.007549313801876534)	(92.0, 0.0046757794856549005)	(93.0, 0.003237258033089736)	(94.0, 0.0017987365805245716)	(95.0, 0.0012560748293129972)	(96.0, 0.000713413078101423)	(97.0, 0.0004093353726811444)	(98.0, 0.00010525766726086569)	(99.0, 6.315460035651942e-05)	(100.0, 2.1051533452173137e-05)
SRR17133385	(0.0, 0.0005789188646155131)	(1.0, 0.0010026203524862872)	(2.0, 0.0014263218403570612)	(3.0, 0.002017825897681607)	(4.0, 0.0026093299550061532)	(5.0, 0.0023418946099392044)	(6.0, 0.002074459264872255)	(7.0, 0.0034735131876930786)	(8.0, 0.004872567110513901)	(9.0, 0.00683690593918212)	(10.0, 0.008801244767850337)	(11.0, 0.013519643267678585)	(12.0, 0.018238041767506832)	(13.0, 0.025836351865585444)	(14.0, 0.03343466196366405)	(15.0, 0.04870679331607546)	(16.0, 0.06397892466848688)	(17.0, 0.0884392954645514)	(18.0, 0.11289966626061591)	(19.0, 0.14248011295713864)	(20.0, 0.17206055965366138)	(21.0, 0.21681455369304145)	(22.0, 0.2615685477324215)	(23.0, 0.31669483809616283)	(24.0, 0.3718211284599041)	(25.0, 0.44521797233898397)	(26.0, 0.5186148162180637)	(27.0, 0.6105318199345446)	(28.0, 0.7024488236510255)	(29.0, 0.7958057831666315)	(30.0, 0.8891627426822375)	(31.0, 1.0082564212878156)	(32.0, 1.1273500998933939)	(33.0, 1.2626409215154974)	(34.0, 1.397931743137601)	(35.0, 1.5411355046755093)	(36.0, 1.6843392662134173)	(37.0, 1.8176028230433077)	(38.0, 1.9508663798731976)	(39.0, 2.15390958644438)	(40.0, 2.356952793015562)	(41.0, 2.4716290689802696)	(42.0, 2.5863053449449778)	(43.0, 2.673881505942901)	(44.0, 2.7614576669408244)	(45.0, 2.9061265546632757)	(46.0, 3.050795442385727)	(47.0, 3.1648980433161147)	(48.0, 3.2790006442465027)	(49.0, 3.355975877919184)	(50.0, 3.4329511115918656)	(51.0, 3.4628262615509913)	(52.0, 3.492701411510117)	(53.0, 3.503070561536301)	(54.0, 3.5134397115624854)	(55.0, 3.3976737676623876)	(56.0, 3.281907823762289)	(57.0, 3.136922208689994)	(58.0, 2.9919365936176985)	(59.0, 2.7984738649962675)	(60.0, 2.6050111363748365)	(61.0, 2.3334688234205068)	(62.0, 2.0619265104661766)	(63.0, 1.8160611369364508)	(64.0, 1.5701957634067252)	(65.0, 1.3443125296007665)	(66.0, 1.1184292957948079)	(67.0, 0.947032605056548)	(68.0, 0.775635914318288)	(69.0, 0.6473812641865929)	(70.0, 0.5191266140548978)	(71.0, 0.4386726233642278)	(72.0, 0.35821863267355775)	(73.0, 0.30508499782207993)	(74.0, 0.25195136297060217)	(75.0, 0.22690473194750854)	(76.0, 0.20185810092441492)	(77.0, 0.177465899922191)	(78.0, 0.15307369891996708)	(79.0, 0.1311177814730001)	(80.0, 0.10916186402603315)	(81.0, 0.09251899543439622)	(82.0, 0.07587612684275931)	(83.0, 0.06435752921581696)	(84.0, 0.0528389315888746)	(85.0, 0.04437538949204998)	(86.0, 0.03591184739522536)	(87.0, 0.028115320511979482)	(88.0, 0.020318793628733605)	(89.0, 0.015399032045560831)	(90.0, 0.010479270462388056)	(91.0, 0.007692699043396357)	(92.0, 0.004906127624404656)	(93.0, 0.00335290509089818)	(94.0, 0.001799682557391704)	(95.0, 0.0012826408902622689)	(96.0, 0.0007655992231328342)	(97.0, 0.00044362804299340945)	(98.0, 0.00012165686285398463)	(99.0, 6.816979384059484e-05)	(100.0, 1.468272482720504e-05)
SRR17133386	(0.0, 0.0004520338152555963)	(1.0, 0.0007255776427116697)	(2.0, 0.0009991214701677432)	(3.0, 0.001653936810023981)	(4.0, 0.0023087521498802183)	(5.0, 0.0020848475498003436)	(6.0, 0.001860942949720469)	(7.0, 0.0031790228596246376)	(8.0, 0.004497102769528806)	(9.0, 0.006417190330591129)	(10.0, 0.008337277891653451)	(11.0, 0.012880851427236571)	(12.0, 0.01742442496281969)	(13.0, 0.024204932191653636)	(14.0, 0.03098543942048758)	(15.0, 0.04564379764930165)	(16.0, 0.06030215587811571)	(17.0, 0.08253841743510479)	(18.0, 0.10477467899209386)	(19.0, 0.1337576508571501)	(20.0, 0.16274062272220635)	(21.0, 0.20430132988137217)	(22.0, 0.245862037040538)	(23.0, 0.29879963265281895)	(24.0, 0.35173722826509995)	(25.0, 0.424403776374985)	(26.0, 0.49707032448486993)	(27.0, 0.5868138229659413)	(28.0, 0.6765573214470126)	(29.0, 0.7664835345309793)	(30.0, 0.8564097476149459)	(31.0, 0.9734516526916047)	(32.0, 1.0904935577682633)	(33.0, 1.2249070801190438)	(34.0, 1.3593206024698241)	(35.0, 1.5039460756610399)	(36.0, 1.6485715488522554)	(37.0, 1.7823070204801523)	(38.0, 1.9160424921080492)	(39.0, 2.1173686368081714)	(40.0, 2.3186947815082934)	(41.0, 2.4362373034738103)	(42.0, 2.5537798254393267)	(43.0, 2.6442087677196993)	(44.0, 2.734637710000072)	(45.0, 2.8806689238644303)	(46.0, 3.026700137728789)	(47.0, 3.1435984058921886)	(48.0, 3.2604966740555885)	(49.0, 3.342108844630929)	(50.0, 3.42372101520627)	(51.0, 3.463141954819389)	(52.0, 3.5025628944325087)	(53.0, 3.519391648666814)	(54.0, 3.536220402901119)	(55.0, 3.4275601341746205)	(56.0, 3.3188998654481217)	(57.0, 3.175987473678272)	(58.0, 3.0330750819084216)	(59.0, 2.8457271324066826)	(60.0, 2.658379182904943)	(61.0, 2.3916623334437577)	(62.0, 2.1249454839825725)	(63.0, 1.8653090894220266)	(64.0, 1.6056726948614801)	(65.0, 1.376791498198698)	(66.0, 1.147910301535916)	(67.0, 0.9776382462515889)	(68.0, 0.8073661909672618)	(69.0, 0.676160207628003)	(70.0, 0.5449542242887444)	(71.0, 0.46035525084064033)	(72.0, 0.3757562773925363)	(73.0, 0.32212373259698857)	(74.0, 0.2684911878014408)	(75.0, 0.24145153888047405)	(76.0, 0.2144118899595073)	(77.0, 0.1884305071200501)	(78.0, 0.16244912428059294)	(79.0, 0.140677570384147)	(80.0, 0.11890601648770105)	(81.0, 0.10074334003688215)	(82.0, 0.08258066358606327)	(83.0, 0.07027752827318372)	(84.0, 0.05797439296030418)	(85.0, 0.04921887817416191)	(86.0, 0.04046336338801964)	(87.0, 0.03202469473406586)	(88.0, 0.023586026080112094)	(89.0, 0.017779292630870813)	(90.0, 0.011972559181629532)	(91.0, 0.008780862476717353)	(92.0, 0.005589165771805176)	(93.0, 0.00382433281551522)	(94.0, 0.0020594998592252636)	(95.0, 0.0014976260514776533)	(96.0, 0.0009357522437300427)	(97.0, 0.0005449753473642236)	(98.0, 0.00015419845099840434)	(99.0, 8.977307078674225e-05)	(100.0, 2.5347690575080166e-05)
SRR17133387	(0.0, 0.0004945159258853932)	(1.0, 0.0007342486464776599)	(2.0, 0.0009739813670699265)	(3.0, 0.0015684755127538881)	(4.0, 0.00216296965843785)	(5.0, 0.0020672915771252414)	(6.0, 0.0019716134958126324)	(7.0, 0.0032046782066616456)	(8.0, 0.004437742917510658)	(9.0, 0.006229825631534463)	(10.0, 0.008021908345558267)	(11.0, 0.01223604406179901)	(12.0, 0.016450179778039753)	(13.0, 0.023027241592315482)	(14.0, 0.02960430340659121)	(15.0, 0.043786160133287094)	(16.0, 0.05796801685998298)	(17.0, 0.07961921413679128)	(18.0, 0.10127041141359958)	(19.0, 0.13044792607545924)	(20.0, 0.15962544073731896)	(21.0, 0.20009296899406648)	(22.0, 0.24056049725081396)	(23.0, 0.29475621762398857)	(24.0, 0.3489519379971632)	(25.0, 0.42116523862650995)	(26.0, 0.4933785392558568)	(27.0, 0.582012993728463)	(28.0, 0.6706474482010694)	(29.0, 0.7668221955088064)	(30.0, 0.8629969428165435)	(31.0, 0.9850778744329461)	(32.0, 1.107158806049349)	(33.0, 1.247751833847809)	(34.0, 1.3883448616462692)	(35.0, 1.5353042444731932)	(36.0, 1.6822636273001172)	(37.0, 1.8183769858308287)	(38.0, 1.95449034436154)	(39.0, 2.1558948555938247)	(40.0, 2.3572993668261084)	(41.0, 2.4809003973972983)	(42.0, 2.6045014279684877)	(43.0, 2.7009363336546253)	(44.0, 2.7973712393407633)	(45.0, 2.946478541341424)	(46.0, 3.095585843342085)	(47.0, 3.2092084025566043)	(48.0, 3.3228309617711242)	(49.0, 3.398654228659434)	(50.0, 3.474477495547744)	(51.0, 3.500098795681715)	(52.0, 3.5257200958156854)	(53.0, 3.528686116336376)	(54.0, 3.5316521368570677)	(55.0, 3.413381127939225)	(56.0, 3.2951101190213836)	(57.0, 3.1494665785711624)	(58.0, 3.003823038120943)	(59.0, 2.8058564876081835)	(60.0, 2.607889937095424)	(61.0, 2.3383497315531043)	(62.0, 2.068809526010785)	(63.0, 1.8123815177467792)	(64.0, 1.5559535094827728)	(65.0, 1.3293114854763899)	(66.0, 1.1026694614700068)	(67.0, 0.9330139477141862)	(68.0, 0.7633584339583656)	(69.0, 0.637512731097505)	(70.0, 0.5116670282366443)	(71.0, 0.43149309623516424)	(72.0, 0.35131916423368414)	(73.0, 0.29916063446823304)	(74.0, 0.24700210470278194)	(75.0, 0.22181834365975756)	(76.0, 0.19663458261673317)	(77.0, 0.17186470990298242)	(78.0, 0.14709483718923166)	(79.0, 0.1278033409065939)	(80.0, 0.1085118446239561)	(81.0, 0.09177140549811406)	(82.0, 0.07503096637227202)	(83.0, 0.06313355821624235)	(84.0, 0.0512361500602127)	(85.0, 0.043367971665527486)	(86.0, 0.03549979327084229)	(87.0, 0.027712242472768833)	(88.0, 0.019924691674695384)	(89.0, 0.015074135462532572)	(90.0, 0.010223579250369758)	(91.0, 0.007340336395533618)	(92.0, 0.004457093540697478)	(93.0, 0.0031627518564235364)	(94.0, 0.001868410172149594)	(95.0, 0.0012814412688160622)	(96.0, 0.0006944723654825303)	(97.0, 0.00040851315616619434)	(98.0, 0.0001225539468498583)	(99.0, 6.772718115386906e-05)	(100.0, 1.2900415457879821e-05)
