Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR17133380	(1.0, 36.92828436866478)	(2.0, 11.597796367783648)	(3.0, 6.075865138105742)	(4.0, 4.027784417632203)	(5.0, 2.8526681567261463)	(6.0, 2.1512517132632256)	(7.0, 1.7630157380919875)	(8.0, 1.4686827713141812)	(9.0, 1.190842606869315)	('>10', 14.50028668588845)	('>50', 5.026896872746346)	('>100', 8.907654972517363)	('>500', 1.9970479023600398)	('>1k', 1.4087343198479534)	('>5k', 0.10318796818878802)	('>10k+', 0.0)
SRR17133381	(1.0, 37.6900169784726)	(2.0, 11.351753641293723)	(3.0, 6.2099017501902125)	(4.0, 3.9991737696845413)	(5.0, 2.9181888315815736)	(6.0, 2.202093444222447)	(7.0, 1.7930349478824992)	(8.0, 1.4114075672795157)	(9.0, 1.22511371091928)	('>10', 14.726811004155453)	('>50', 4.968193541029013)	('>100', 8.607558167694307)	('>500', 1.6656257611675538)	('>1k', 1.1556926992593026)	('>5k', 0.07543418516831116)	('>10k+', 0.0)
SRR17133382	(1.0, 40.07676743182211)	(2.0, 12.233023103056823)	(3.0, 6.768201741179666)	(4.0, 4.432927087993565)	(5.0, 3.238577854009957)	(6.0, 2.4164740722109412)	(7.0, 1.9497960068724187)	(8.0, 1.6638795123342838)	(9.0, 1.3776611665720118)	('>10', 14.588893406798235)	('>50', 4.0461628542867025)	('>100', 5.357864002584719)	('>500', 1.0091435713702472)	('>1k', 0.7881957911331209)	('>5k', 0.05243239777515976)	('>10k+', 0.0)
SRR17133383	(1.0, 42.166269310451)	(2.0, 12.095054268123299)	(3.0, 6.49626994066317)	(4.0, 4.111023403199832)	(5.0, 3.025958055453011)	(6.0, 2.2894551073982536)	(7.0, 1.8256939947332327)	(8.0, 1.4730641610937203)	(9.0, 1.27511004149978)	('>10', 14.077141654901427)	('>50', 3.9908344270227305)	('>100', 5.441054039743563)	('>500', 0.9634688039049417)	('>1k', 0.7378954083921008)	('>5k', 0.03170738342017529)	('>10k+', 0.0)
SRR17133384	(1.0, 40.098998415083116)	(2.0, 11.924085752093976)	(3.0, 6.493019390113136)	(4.0, 4.152060687762732)	(5.0, 3.001771177394928)	(6.0, 2.292861660432911)	(7.0, 1.8112036535809852)	(8.0, 1.537478207667771)	(9.0, 1.3131767581416718)	('>10', 14.006532473058314)	('>50', 4.256536531199247)	('>100', 6.816690195802173)	('>500', 1.2903532039087193)	('>1k', 0.9430103223597229)	('>5k', 0.06222157140084084)	('>10k+', 0.0)
SRR17133385	(1.0, 36.10977361257069)	(2.0, 11.829273668122898)	(3.0, 6.647858168243808)	(4.0, 4.346989375486561)	(5.0, 3.1618779134605526)	(6.0, 2.3809827363516387)	(7.0, 1.8661215883697069)	(8.0, 1.6427993991995755)	(9.0, 1.378560310896525)	('>10', 15.268110389141665)	('>50', 4.6974919189370485)	('>100', 7.639720025775383)	('>500', 1.6523957127595394)	('>1k', 1.2638387544330538)	('>5k', 0.1142064262515105)	('>10k+', 0.0)
SRR17133386	(1.0, 37.909413965407154)	(2.0, 11.785454523962738)	(3.0, 6.566774333545671)	(4.0, 4.230893750268076)	(5.0, 3.0041656565437753)	(6.0, 2.4317675367465474)	(7.0, 1.8700754337673426)	(8.0, 1.5824365240001557)	(9.0, 1.2944377436787178)	('>10', 15.01512029679456)	('>50', 4.594428612085721)	('>100', 7.180130350466377)	('>500', 1.4081603812879335)	('>1k', 1.043207406067151)	('>5k', 0.08353348537803332)	('>10k+', 0.0)
SRR17133387	(1.0, 38.742084903035966)	(2.0, 11.70619016209379)	(3.0, 6.6149295831319534)	(4.0, 4.240861535691122)	(5.0, 3.114138374841006)	(6.0, 2.3762209451046212)	(7.0, 1.9590376161311478)	(8.0, 1.584019919562417)	(9.0, 1.312932841649319)	('>10', 15.159790903391295)	('>50', 4.381670810995286)	('>100', 6.510278743550782)	('>500', 1.3003285882328341)	('>1k', 0.9372563941048134)	('>5k', 0.060258678483514794)	('>10k+', 0.0)
