gene_id,SRR17133380,SRR17133381,SRR17133382,SRR17133383,SRR17133384,SRR17133385,SRR17133386,SRR17133387
Cenpx,494.00010000000003,470.9995,613.0005000000001,504.00043,614.000303,716.9995693,790.00041,675.00035
Cep104,409.00010000000003,452.0002,488.00030000000004,345.0,389.0001,415.99969999999996,365.00034,395.99989999999997
Cep112,0.0,0.0,2.000001,1.0,0.0,1.0,2.0,1.0
Cep112it,69.4012,78.8268,64.6704,43.7993,64.5277,43.1689,39.4191,41.37
Cep112os1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cep120,1477.99889,1539.00369,2053.99514,1490.99909,1257.99796,1452.99715,1396.99637,1615.0021199999999
Cep126,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Cep128,166.000109,155.99995,174.01117,114.00072,201.00081,242.00378,190.00366227,224.00140251000002
Cep131,111.00001,111.99960947400001,59.000020000000006,47.00002,82.99995000000001,56.000029999999995,143.99998606719998,146.00013
Cep135,477.19010000000003,505.75260000000003,738.111,476.23470000000003,519.1995000000001,535.2528,470.4042,556.0824
Cep152,395.0,431.0,419.0,267.0,240.0,245.0,315.0,372.0
Cep162,330.16089,371.21126999999996,286.41082,171.50916999999998,186.954,203.26284,288.67936000000003,346.055211
Cep164,935.99982,994.00015,861.00021,643.99978,490.99998999999997,528.99996,626.9997457,674.9993999999999
Cep170,169.98511241,168.15954004263568,354.2920379,255.258413,339.203435,359.58405,304.14184096,368.32371252074
Cep170b,292.092,431.0744997,14.05792,16.00290923144,9.999995,8.00411051674,209.0883757351,233.0545157
Cep19,207.0,226.0,175.99989000000002,114.00047699999999,285.0003,315.99974,395.0,459.0001
Cep192,1171.00003,1262.9999,1484.99964,1122.00048,1618.05872,1597.99972,1378.9997,1741.99841
Cep20,414.26736,417.38823,311.4954,248.0958,349.63421,380.8021,455.3837,395.40601999999996
Cep250,1524.20842,1528.6017,2205.25102,1485.8556437999998,2270.93999,2642.099965,2280.9121999999998,2492.0778
Cep290,46.42819721,56.38546,46.71671,26.649085000000003,29.388802,28.778068000000005,39.855359,47.018823999999995
