gene_id,SRR17133380,SRR17133381,SRR17133382,SRR17133383,SRR17133384,SRR17133385,SRR17133386,SRR17133387
Fam234b,6.568401000000001,8.539225,0.796978,0.1908007,0.326929,0.284401,3.27197,3.6694020000000003
Fam240a,3.91697,2.63107,0.181829,0.0,0.178294,0.0,0.157175,0.164949
Fam240b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fam241a,79.1236,90.3723,9.19065,9.81195,5.79159,5.70406,5.674646,5.30324
Fam241b,0.24878419999999998,0.1330393,0.150134,0.180637,0.229892,0.333311,1.324784,1.494144
Fam243,0.0257967,0.0,0.0311351,0.0374609,0.0,0.0531167,0.0538271,0.0
Fam24a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fam24b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238672
Fam25c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fam32a,38.22093,40.41982,56.15768,56.11613,48.72419,49.393159999999995,45.46638,47.23676
Fam3a,10.873834,10.014251,14.835186,14.373500120100001,13.004010000000001,12.777458392299998,13.5228900292155,14.044395128486002
Fam3b,0.855775,0.485225,0.0,0.236937,0.0869255,0.0,0.0864656,0.0
Fam3c,33.501794000000004,38.998455,76.468397,78.38713,54.485573,53.93028,36.704371,36.31897
Fam3d,0.0,0.0,0.0,0.0,0.0666381,0.289848,0.23498,0.3934295
Fam43a,3.9919,2.14334,138.915,102.364,176.927,169.247,181.397,177.837
Fam43b,0.0,0.0,0.0,0.0,0.0,0.0,0.0296184,0.0
Fam47c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fam47e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fam50a,34.83962,38.05171,41.10014,42.94149,33.685590000000005,36.998749,38.77103,37.93139
Fam50b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fam53a,34.836684999999996,37.056331,38.877657,42.458901999999995,38.630177,42.867708,32.740356999999996,33.939294
Fam53b,42.726951,42.637872,102.984908,93.399749,58.712664,61.585715,47.71301,59.712889999999994
Fam53c,19.77343,25.569589999999998,23.18947,21.81478,17.84331,20.16683,21.172150000000002,23.958309999999997
Fam72a,0.822893,0.747833,0.993184,0.873248,1.1237,1.49887,1.18872,1.66335
Fam76a,13.117704,14.57774,24.80957,22.54720287522,17.78588,16.95189,19.477809999999998,21.21322
Fam76b,19.202824,19.678055,27.07397,25.87909,29.928847,26.03991,20.918318000000003,24.96725
Fam78a,105.607986,121.97271699999999,43.697900000000004,41.781479999999995,54.244228,55.450236000000004,51.699897,56.19803
Fam78b,0.7969432,0.7604446,10.781986764,12.566040000000001,1.89614307,2.1671516,0.2997204,0.3004454
Fam81a,0.0,0.0,0.784246,0.6290560000000001,2.04967,1.91302,1.62697,2.27551
Fam81b,0.0250069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fam83a,0.0,0.0,0.0,0.0,0.167151,0.0,0.0,0.0
Fam83b,0.0,0.0,0.0213637,0.0,0.0,0.0,0.0,0.024045
Fam83c,0.0,0.0,0.02087,0.0,0.0,0.0,0.030913,0.0
Fam83d,6.68171,6.32693,4.08112,3.27158,3.2843999999999998,3.4022500000000004,9.09164,9.23518
Fam83e,0.47888600000000003,0.939354,0.476329,0.5031377,0.5780677,0.703564,0.953958,0.4083489
Fam83f,0.0904355,0.156459,0.133286,0.199007,0.0918444,0.154651,0.160803,0.0940913
Fam83g,0.0860145,0.0589097,0.41738390000000003,0.416356,0.441116,0.3959639,1.444072,1.1027192000000001
Fam83h,0.2283638795,0.3753651811,0.771740918,0.6853494019999999,0.1981934035,0.1724110947,0.476502335,0.6667587355
Fam89a,1.7356,2.64752,1.52347,2.06212,0.995901,1.40782,3.01791,3.33992
Fam89b,41.38199,44.00932,95.75361,110.57222,78.11458999999999,77.68707,65.20323,62.507059999999996
Fam8a1,6.606786,5.796945,10.438039999999999,9.27656,9.77636,8.755785,6.328163,5.58499
Fam90a1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fam90a1b,0.0,0.0481979,0.0,0.0,0.0,0.0,0.124013,0.0
Fam91a1,23.24641,23.227159999999998,22.879130000000004,20.27427,18.48651,15.259929999999999,18.641807,21.01289
Fam98a,10.138844,9.478798000000001,12.434372999999999,13.469473,14.83104,15.079979999999999,14.010057,16.942964
Fam98b,20.308429,19.791720799999997,25.555148000000003,30.168742,29.287838,32.5632413,32.690924,36.949162
Fam98c,25.869479000000002,30.21925,25.743468,22.560432000000002,24.30123,19.87954,30.127682,23.283170000000002
Fan1,1.4198547,1.589366,1.961825,1.500319,2.371457,2.312968,1.545639,2.506495
Fanca,5.32754425,2.8814520999999997,10.91357391,9.7866839857,11.10169620492245,9.412961000000001,19.1419669,14.3761382
Fancb,1.19059,0.767449,1.046331,0.847514,1.46429,1.27381,1.085353,1.526171
Fancc,6.089168,9.3841414918,9.445962,8.497757,6.617709,5.907479,6.5251220000000005,6.65738647
Fancd2,0.635462,0.7075794999999999,3.19481,2.33815704493,3.588638,3.604424,4.291252,4.9791454
Fancd2os,0.0,0.063257,0.0855151,0.0,0.0,0.0,0.0,0.0
Fance,16.737238967,18.3289720062285,21.90972554165,21.83027790987824,17.7308710127933,16.110083,17.05393386,15.58957918581
Fancf,2.74091,2.73788,7.98969,10.2838,6.48617,6.48144,6.09957,5.46391
Fancg,10.604671,12.814795,13.102383,8.821577,13.428114,12.704096,11.240997,12.179337
Fanci,1.1632470000000001,1.2776640000000001,1.8517310999999999,1.359232,4.218204555,3.303919,4.006797060384,4.198617
Fancl,7.611967,5.774893,9.772799,6.310749,9.678494,9.259304,9.796419,9.136035999999999
Fancm,5.92781676,5.892328,10.265826,7.173664929999999,13.331515,7.997299,10.0572470397728,10.978290000000001
Fank1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fap,0.324372297409,0.237925035054,0.6773106,0.41801070990100003,0.3838862890004,0.0,0.173923,0.167997528493
Far1,12.931396,17.47009,39.072531,30.815432,34.881359,29.891956999999998,25.566617,34.145846
Far1os,0.168756,0.0840555,0.0,0.0,0.19602,0.168438,0.176645,0.362787
Far2,1.76353,1.9391,2.78046,2.749608,2.0458266,1.3150993,1.920589,2.0791350000000004
Far2os1,0.0,0.0,0.646823,0.19456,0.475685,0.275871,0.13978,0.0
Far2os2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farp1,0.9392433944040001,1.0668832529999999,26.366954,20.89893,24.74924,20.058809999999998,20.48591,23.175283
Farp2,0.56239,0.414062,1.114455,0.680306,0.967312,0.611234,1.2999239999999999,2.282168
Fars2,16.336019899999997,20.00533458,23.595088,23.5094839,23.73857696,31.0900957,31.36869198,34.62462
Farsa,50.1531768,52.088463000000004,42.19912,45.54224,45.13610070668,44.86445,48.27174,52.0445455
Farsb,37.196154,39.917612999999996,36.4450866207752,36.5391,62.035024,60.0827,50.30507,56.3986
Fas,25.59974,25.862479999999998,8.327869999999999,10.043096,5.124091,4.741018,19.819496,18.939084
Fasl,9.305029999999999,9.81241,5.04232,4.90151,2.0398,2.346061,5.43203,5.89727
Fasn,63.313706,91.592867,67.221456,79.289166,92.191949,82.649115,95.731335,88.30996999999999
Fastk,83.21776,89.62305,72.489531,90.3393244,77.18299239,81.467571,82.74497426145,72.207472
Fastkd1,8.520094,7.719598599999999,6.331564999999999,6.0694300000000005,4.572627,6.04452,5.64332436,6.342568
Fastkd2,16.63252,19.292201000000002,13.337275,12.350543,13.89535,13.465111,14.135133,12.636586999999999
Fastkd3,4.9234311,7.876456999999999,11.595234,8.240013000000001,11.744946,8.762262,8.980077,9.845554
Fastkd5,2.538414,3.5107100000000004,3.87796,4.4518522053,3.094804,3.381009,2.6339672703,2.8004260000000003
Fat1,0.0,0.00501447,0.1627347792305,0.2853542480099,0.05502601700248,0.03350796271302,0.21233250484316998,0.10757526179427
Fat2,0.0,0.00484527467,0.0,0.0,0.0,0.0,0.0,0.0
Fat3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fat4,0.00422128,0.00433661,0.1866691,0.231332,0.0544871,0.0173836,0.0,0.0
Fate1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fau,3850.5213599999997,3727.7843,2629.4933,2893.9185,2783.8477000000003,2783.883796,2618.0856400000002,2450.63649
Faxc,0.0788911,0.0,0.2632662,0.380105,0.1548885,0.054146900000000005,0.2220691,0.1439623
Fbf1,6.797916999999999,8.074260609,10.6129919,6.92256,6.878912000774934,5.51332,5.3585104177,6.389209
Fbh1,22.73055,21.515515,43.583057,32.225406,36.020183,39.529705,29.615488000000003,29.69864
Fbl,96.77204,103.305179,66.385748,71.11343,96.02391,106.04722699999999,98.948637,90.2373
Fblim1,0.0907851,0.163215,0.25099099999999996,0.329586000334382,0.56407,0.36178889999999997,0.42622,0.22365
Fbll1,0.0,0.0478996,0.0,0.0,0.0,0.0,0.0,0.0
Fbln1,0.50822,0.2830499,0.0,0.2804764,0.180378,0.198847,1.7603529999999998,1.746397
Fbln2,0.130122,0.445592,0.0,0.0,0.0,0.0,0.13179639999999998,0.121484
Fbln5,0.0,0.0399118,0.0,0.0,0.0,0.0,0.0913809,0.0425369
Fbln7,0.0,0.0,0.0,0.0,0.0,0.0,0.024765,0.0
Fbn1,0.0207574,0.0355409,0.050106,0.0100477,0.00818864,0.00712342,0.0216561,0.00757572
Fbn2,0.0,0.0,0.0,0.00895626,0.102188,0.0634965,0.186603,0.34404999999999997
Fbp1,0.0,0.0,0.0,0.0,0.122492,0.0,0.0,0.113324
Fbp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbrs,114.11540000000001,135.328694,126.83496000000001,112.51399,89.56366200000001,80.442564,90.97973,90.49801000000001
Fbrsl1,59.362709,79.67105099999999,66.331918,58.53733,41.817875,43.214147000000004,49.948276773230006,54.660628
Fbxl12,44.614624,52.678919,51.215183999999994,48.2167,17.998323,15.687284,17.71507,16.773414
Fbxl12os,0.618699,0.2824789,0.2781297,0.527341,0.8410432999999999,0.399406,0.1107722,0.4138431
Fbxl13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxl14,50.3477,59.0074,64.131,55.6949,43.6133,44.1415,51.4518,49.3597
Fbxl15,3.43566,2.85769,4.380187199,4.19616,3.92729,4.365340809,6.01929,4.8773
Fbxl16,0.0,0.0,0.0238205,0.0,0.0,0.0,0.052237,0.0
Fbxl17,14.228439999999999,14.17371,25.19692,23.82474,20.00192,19.74683,16.81925,16.24747
Fbxl18,1.3015265,1.2758597999999999,3.333728,2.72490678,3.717184,4.7781525,3.6067049,3.1596200000000003
Fbxl19,3.998879,4.804778200221353,9.0190545,8.708203865,8.45253,10.864998,9.5192428761671,9.862549999999999
Fbxl2,0.258808,0.252341,3.9645595,3.3169839999999997,0.45963750000000003,0.863193,1.1122477,1.158212
Fbxl20,17.753647,17.615804,25.591757,17.621119,21.225376999999998,19.61451,14.851868,18.971918
Fbxl21,0.0354199,0.12111190000000001,0.0,0.131438,0.0232019,0.0,0.094431,0.03876772
Fbxl22,2.38303,2.84643,2.09538,1.98404,1.87024,1.91876,1.76829,1.77302
Fbxl3,73.65455,68.99425,110.75167,80.09698,64.48485,58.70709,62.4877,73.0941
Fbxl4,3.537465,4.41573935,7.940418,8.450818292,5.94902,6.164958,2.9871730021906298,4.660813
Fbxl5,36.98116534728,30.375404016641898,39.806356580654295,38.889532284699996,33.110548593000004,34.488917,35.129252422271,37.8296759
Fbxl6,37.850085,39.60262000157717,39.6873,42.77962,49.381209999999996,53.46876,45.07183,43.30073
Fbxl7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxl8,9.798300000000001,10.25575,14.11476,13.21494,13.89697,14.154420000000002,15.22668,14.207889999999999
Fbxo10,1.235713,1.291358,0.7457159999999999,0.649715,0.3277874,0.304384,0.689062,0.746468
Fbxo11,40.986368999999996,38.96249,51.876909999999995,50.75227,43.37067,40.307145,44.228136,51.148740000000004
Fbxo15,0.0488428,0.0,0.0,0.0,0.0,0.0,0.0,0.0534776
Fbxo16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxo17,3.058154,2.005047,0.32599280439999995,0.484962,0.7268159999999999,0.6453990000000001,2.172766,2.438176
Fbxo2,0.0,0.0562115,0.0,0.079457,0.0,0.056332,0.228342,0.239635
Fbxo21,8.3709709,10.769857000000002,18.06469,18.217534,11.803148,11.474692999999998,11.276626,13.094781900000001
Fbxo22,24.67949,22.129332,43.53392,37.85969,33.182266341,30.461150000000004,38.0251312909,38.87223
Fbxo24,0.532247,0.391759,0.519906,0.492236,0.788088,0.589104,0.17974,0.616291
Fbxo25,11.322567,13.076999,24.533871378700002,25.138634,17.553086,19.505893,15.543436,16.054698
Fbxo27,0.2801307,0.8036078,0.0,0.0,0.21142339999999998,0.03678437,0.3625317,0.7863742
Fbxo28,33.90589,35.8291,42.61544000000001,37.919302,31.60611,29.10689,31.404249999999998,33.60342
Fbxo3,7.040343447184,7.20969555957,9.832019167881,11.683376382999999,16.631351068118498,15.4795127977,13.458560091827401,15.552451999999999
Fbxo30,2.331021,1.396912,2.043062,1.611911,2.233232,2.31413,2.576697,2.91682
Fbxo31,16.681455,17.692676,21.560634,22.140219000000002,18.2143,18.782209,12.432203000000001,18.85051
Fbxo32,6.21453,7.04171,12.6041,12.0066,6.06402,6.32335,5.19649,5.74498
Fbxo33,41.05111,40.135296,56.802510000000005,48.3052,36.11136,37.833999,57.710409999999996,56.47525
Fbxo34,9.05456151755688,9.964385199999999,30.110782,31.17381,19.894485289000002,19.5056914,13.416876015170429,12.8527572
Fbxo36,0.477421,0.572209,0.19669,0.236652,1.69505,0.754997,0.747136,0.958329
Fbxo38,24.81287,27.978174,36.897129,30.8092,30.493593,26.275354,23.18905,28.864420000000003
Fbxo39,0.326914,0.503769,0.197283,0.593413,0.145085,0.0,0.0,0.044742
Fbxo4,8.301377,6.561766,13.16508,14.575719000000001,30.668091,27.987834,22.569381,20.95424
Fbxo40,0.0399727,0.20852099999999998,0.0321632,0.0193489,0.0473068,0.20896779999999998,0.0695055,0.104251
Fbxo41,0.0107473,0.0,0.0,0.0,0.0254383,0.0110646,0.0897005,0.105904
Fbxo42,10.744691,12.0949,17.7133,15.8586,12.27,12.4054,11.4416,13.0544
Fbxo43,0.0171754,0.0,0.0,0.0,0.0233536,0.0175909,0.0,0.0619314
Fbxo44,0.828944,1.07363426,1.895708,2.442922,2.14369520883,2.0253002,8.276038999999999,7.134737
Fbxo45,4.95732,5.46375,7.37002,7.03195,7.11017,7.01333,7.99767,7.7462
Fbxo46,7.05897,8.84439,16.03723,17.848309999999998,10.0577,12.31179,10.91691,11.729610000000001
Fbxo47,0.288757,0.3422413,0.603119,0.7256560000000001,0.29569599999999996,0.297282,0.167366,0.36475199999999997
Fbxo48,0.655646,1.092231,1.014013,1.199381,1.502998,1.131097,0.8469579999999999,0.753755
Fbxo5,4.67769,3.89915,5.344326,4.05346,10.61322,8.99583,16.66036,15.05595
Fbxo6,12.34075,11.911663,28.62419,32.68599,22.59516,20.269002,25.49212,26.607177975
Fbxo7,32.6632639,31.126657,28.668903,27.97357,24.501844,24.193929,24.807337999999998,26.628342000000004
Fbxo8,25.4248017,25.8506305,34.555431,34.86698,28.3525123,30.3078142,25.873325,26.179909000000002
Fbxo9,25.753882,29.79527,28.035523,25.128578,28.679577,25.678522985119997,19.68264430086,26.1974645128
Fbxw10,0.4992804,0.509056142508,0.0,0.23895,0.0,0.0,0.0444694901361,0.0544585
Fbxw11,29.2782,28.58805,43.452940687499,40.54845,44.20407,44.535359,45.77558,51.92502900222465
Fbxw13,0.0,0.0,0.0,0.0,0.0,0.0908793,0.0,0.119914
Fbxw14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw17,8.785357,9.81664,22.871675,17.31163,16.035503,12.2319048,16.01601568,12.422183
Fbxw18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw19,0.0,0.0,0.0,0.0466165,0.0,0.0,0.0,0.0
Fbxw2,55.604994,58.475304043,58.590436000000004,51.861236,61.0120910115769,56.953019,58.01406,54.539441000000004
Fbxw20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbxw4,26.437867999999998,30.823172999999997,25.978535265262,30.438603778264,22.64335,20.486993000000002,17.3290538554,19.298325
Fbxw5,38.778759,44.970607,44.276663,46.886684,43.810774,40.684936,34.745119,36.264757
Fbxw7,92.886344,57.192950000823295,88.24134,22.23440759694,24.03424322,52.7990382,21.923099,56.04132194616
Fbxw8,4.395815,4.867766,21.260119,20.756215,26.21944,27.445610000000002,28.994106,30.689449999999997
Fbxw9,3.2422793,2.910388,5.484573,5.3452483,3.449773343,4.900268058372,5.8676260000000005,5.823857803982969
Fcamr,0.0,0.0,0.0,0.0,0.0,0.082403,0.0,0.0
Fcer1a,0.261752,0.0896345,0.421226,0.103738,0.0,0.0898266,2.0936440000000003,2.10166
Fcer1g,20.1754,18.1637,15.1864,23.613814,9.231633,8.3316,31.347,26.314482
Fcer2a,0.0,0.0,0.55725,0.227801,0.375486,1.1757683,5.86741,6.76912
Fcf1,52.403503122000004,54.2685,62.22631,69.610644,63.19271,62.79117,63.379760000000005,58.394330148419996
Fcgbp,0.0193785,0.0,0.0,0.0,0.0,0.0,0.0801914,0.0
Fcgr1,0.738226,1.516791,0.890995,1.250691,0.436836,0.1266703,0.641822,0.321455
Fcgr2b,3.581404,2.5241159,98.81251999999999,120.22889,38.30272,27.430522,43.551704,44.495786
Fcgr3,3.57143866868,4.045843,5.5384020103016,6.065133,1.9152100046806602,2.1780100742589,7.30632,7.741076
Fcgr4,4.21254,4.50074,3.11836,7.91167,1.46239,2.25519,4.39492,3.50533
Fcgrt,33.896823000000005,34.110800999999995,5.245064,6.645165,1.912716,3.579249,4.563605,5.709766
Fcho1,99.45520865,121.78609,130.1343,124.687414,136.848714344,137.8167,145.22187200262664,152.479649
Fcho2,17.969352,14.233553,41.851701,33.340880999999996,18.0982,15.757174000000001,16.370425,21.117347
Fchsd1,10.862261,11.688051,15.235367,12.62444,7.591263,9.858381,9.913741,11.310421999999999
Fchsd2,28.264209,29.0173351,13.4167077,11.4034902,17.375571,16.5741522,24.448164,30.8115139
Fcmr,0.0,0.0,0.158265,0.0634734,1.6223260000000002,0.6231721,8.162770313056,10.371179
Fcna,1.7868519999999999,1.635519,1.6012370000000002,1.926558,0.7850509999999999,0.842811,2.640082,2.12877
Fcnaos,0.0,0.0,0.109243,0.0,0.0,0.0,0.283293,0.0
Fcnb,0.362857,0.6632957,2.337803,0.937593,0.254706,0.084703,1.00951,1.19187000349943
