Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR17133380	(0.0, 0.0003241853339132254)	(1.0, 0.00042965658980965147)	(2.0, 0.0005351278457060776)	(3.0, 0.0009081630244555423)	(4.0, 0.0012811982032050072)	(5.0, 0.0013355991667726374)	(6.0, 0.0013900001303402678)	(7.0, 0.0025035545478572716)	(8.0, 0.0036171089653742753)	(9.0, 0.005365711365762392)	(10.0, 0.007114313766150508)	(11.0, 0.010963459494496921)	(12.0, 0.014812605222843334)	(13.0, 0.021050952453180366)	(14.0, 0.0272892996835174)	(15.0, 0.039001049983005805)	(16.0, 0.05071280028249421)	(17.0, 0.07067240279308314)	(18.0, 0.09063200530367206)	(19.0, 0.1190437411946767)	(20.0, 0.14745547708568132)	(21.0, 0.1867640590464062)	(22.0, 0.22607264100713104)	(23.0, 0.2811575024024687)	(24.0, 0.3362423637978063)	(25.0, 0.4056924102462372)	(26.0, 0.47514245669466804)	(27.0, 0.5616233354110061)	(28.0, 0.648104214127344)	(29.0, 0.7437366671842529)	(30.0, 0.8393691202411618)	(31.0, 0.9556994745999349)	(32.0, 1.0720298289587076)	(33.0, 1.2087916309202376)	(34.0, 1.3455534328817675)	(35.0, 1.4925992374050723)	(36.0, 1.639645041928377)	(37.0, 1.7764767879859225)	(38.0, 1.913308534043468)	(39.0, 2.1233861815379695)	(40.0, 2.333463829032471)	(41.0, 2.463173489757642)	(42.0, 2.592883150482813)	(43.0, 2.6857755713339073)	(44.0, 2.7786679921850017)	(45.0, 2.9428523206796027)	(46.0, 3.1070366491742036)	(47.0, 3.221186524095286)	(48.0, 3.3353363990163682)	(49.0, 3.4142555437968056)	(50.0, 3.4931746885772434)	(51.0, 3.5335590773481114)	(52.0, 3.5739434661189797)	(53.0, 3.57368700443359)	(54.0, 3.5734305427481994)	(55.0, 3.4487113377625485)	(56.0, 3.3239921327768975)	(57.0, 3.1692602492581092)	(58.0, 3.014528365739321)	(59.0, 2.817917732287174)	(60.0, 2.6213070988350267)	(61.0, 2.3449779595051217)	(62.0, 2.068648820175217)	(63.0, 1.8164803700118175)	(64.0, 1.564311919848418)	(65.0, 1.3443355174321003)	(66.0, 1.1243591150157828)	(67.0, 0.9540507923367118)	(68.0, 0.7837424696576405)	(69.0, 0.6572757724953481)	(70.0, 0.5308090753330554)	(71.0, 0.45121824518611975)	(72.0, 0.3716274150391841)	(73.0, 0.31890510977592645)	(74.0, 0.26618280451266874)	(75.0, 0.24146811369677043)	(76.0, 0.21675342288087207)	(77.0, 0.19042668718537786)	(78.0, 0.16409995148988363)	(79.0, 0.1406209397035929)	(80.0, 0.11714192791730219)	(81.0, 0.09694251707751718)	(82.0, 0.07674310623773217)	(83.0, 0.06418425521983351)	(84.0, 0.051625404201934864)	(85.0, 0.04346303921929777)	(86.0, 0.03530067423666067)	(87.0, 0.028090881228330238)	(88.0, 0.020881088219999806)	(89.0, 0.016304745937841193)	(90.0, 0.01172840365568258)	(91.0, 0.008366646151952283)	(92.0, 0.005004888648221986)	(93.0, 0.0034783309970895042)	(94.0, 0.0019517733459570217)	(95.0, 0.0013034026781305707)	(96.0, 0.0006550320103041198)	(97.0, 0.0003830271924659683)	(98.0, 0.00011102237462781691)	(99.0, 5.995208229902113e-05)	(100.0, 8.881789970225353e-06)
SRR17133381	(0.0, 0.0002986686132832756)	(1.0, 0.0004952189139366077)	(2.0, 0.0006917692145899397)	(3.0, 0.0010102026625757852)	(4.0, 0.0013286361105616304)	(5.0, 0.0014757743244585382)	(6.0, 0.001622912538355446)	(7.0, 0.0028362537798187534)	(8.0, 0.00404959502128206)	(9.0, 0.005967882033803687)	(10.0, 0.007886169046325314)	(11.0, 0.012034588241120223)	(12.0, 0.01618300743591513)	(13.0, 0.02314681752945386)	(14.0, 0.030110627622992586)	(15.0, 0.042479021961311765)	(16.0, 0.05484741629963095)	(17.0, 0.07597053436481613)	(18.0, 0.09709365243000133)	(19.0, 0.12615344967464062)	(20.0, 0.15521324691927993)	(21.0, 0.1947440143707917)	(22.0, 0.2342747818223035)	(23.0, 0.2883458793366724)	(24.0, 0.3424169768510413)	(25.0, 0.41006980994519265)	(26.0, 0.47772264303934403)	(27.0, 0.560326475539617)	(28.0, 0.64293030803989)	(29.0, 0.7332138768684837)	(30.0, 0.8234974456970775)	(31.0, 0.9327332949126907)	(32.0, 1.041969144128304)	(33.0, 1.1714529684503276)	(34.0, 1.3009367927723514)	(35.0, 1.440947587666238)	(36.0, 1.580958382560125)	(37.0, 1.716334323716259)	(38.0, 1.8517102648723929)	(39.0, 2.0477411895915965)	(40.0, 2.2437721143108)	(41.0, 2.374897517959509)	(42.0, 2.5060229216082184)	(43.0, 2.604347484021641)	(44.0, 2.7026720464350635)	(45.0, 2.8691358764855948)	(46.0, 3.0355997065361264)	(47.0, 3.163169636031118)	(48.0, 3.2907395655261094)	(49.0, 3.3714986801208093)	(50.0, 3.452257794715509)	(51.0, 3.5007672873538493)	(52.0, 3.5492767799921894)	(53.0, 3.564760331888908)	(54.0, 3.5802438837856267)	(55.0, 3.468464959171616)	(56.0, 3.356686034557606)	(57.0, 3.2096060171184333)	(58.0, 3.0625259996792606)	(59.0, 2.873420453430563)	(60.0, 2.6843149071818657)	(61.0, 2.4099010402177603)	(62.0, 2.1354871732536544)	(63.0, 1.881244418149894)	(64.0, 1.6270016630461335)	(65.0, 1.4038083652137372)	(66.0, 1.1806150673813411)	(67.0, 1.008267904867678)	(68.0, 0.8359207423540149)	(69.0, 0.7044681208863408)	(70.0, 0.5730154994186668)	(71.0, 0.4913856340506816)	(72.0, 0.40975576868269625)	(73.0, 0.35415838671074007)	(74.0, 0.29856100473878383)	(75.0, 0.271957537229125)	(76.0, 0.24535406971946616)	(77.0, 0.21647105794077764)	(78.0, 0.1875880461620891)	(79.0, 0.1624043526118982)	(80.0, 0.1372206590617073)	(81.0, 0.1135478773198906)	(82.0, 0.08987509557807392)	(83.0, 0.07501633206723096)	(84.0, 0.060157568556388)	(85.0, 0.05121068671435811)	(86.0, 0.042263804872328226)	(87.0, 0.03339159018361915)	(88.0, 0.024519375494910088)	(89.0, 0.019172987707864984)	(90.0, 0.013826599920819875)	(91.0, 0.009939515762647833)	(92.0, 0.006052431604475791)	(93.0, 0.0040979090616661195)	(94.0, 0.0021433865188564484)	(95.0, 0.0014472251187770486)	(96.0, 0.0007510637186976489)	(97.0, 0.00042384589973288374)	(98.0, 9.662808076811858e-05)	(99.0, 5.819645773534414e-05)	(100.0, 1.976483470256971e-05)
SRR17133382	(0.0, 0.0002940994308348178)	(1.0, 0.0004988797752679501)	(2.0, 0.0007036601197010825)	(3.0, 0.0012221465236913539)	(4.0, 0.001740632927681625)	(5.0, 0.0017754891565213075)	(6.0, 0.0018103453853609895)	(7.0, 0.003199148253192074)	(8.0, 0.0045879511210231575)	(9.0, 0.006525739593079234)	(10.0, 0.008463528065135312)	(11.0, 0.012955624556849343)	(12.0, 0.017447721048563375)	(13.0, 0.0244679833883056)	(14.0, 0.03148824572804782)	(15.0, 0.045634428351202565)	(16.0, 0.059780610974357294)	(17.0, 0.08263758303597883)	(18.0, 0.10549455509760038)	(19.0, 0.13853063523756032)	(20.0, 0.1715667153775203)	(21.0, 0.21439957433573342)	(22.0, 0.2572324332939465)	(23.0, 0.31325946412513056)	(24.0, 0.36928649495631455)	(25.0, 0.4478077752177572)	(26.0, 0.5263290554791998)	(27.0, 0.62157261152648)	(28.0, 0.7168161675737601)	(29.0, 0.820634355915602)	(30.0, 0.9244525442574438)	(31.0, 1.0469002976569446)	(32.0, 1.1693480510564453)	(33.0, 1.3096193192216874)	(34.0, 1.4498905873869294)	(35.0, 1.5963553717141223)	(36.0, 1.7428201560413155)	(37.0, 1.8770307974170577)	(38.0, 2.0112414387928)	(39.0, 2.2027154178663837)	(40.0, 2.3941893969399675)	(41.0, 2.5126591832231395)	(42.0, 2.631128969506311)	(43.0, 2.729874487294828)	(44.0, 2.828620005083345)	(45.0, 2.9595596072339134)	(46.0, 3.090499209384482)	(47.0, 3.2008823505768476)	(48.0, 3.3112654917692135)	(49.0, 3.3695690700464893)	(50.0, 3.427872648323765)	(51.0, 3.4409197704813184)	(52.0, 3.453966892638872)	(53.0, 3.4442670577070795)	(54.0, 3.4345672227752866)	(55.0, 3.3194469022321775)	(56.0, 3.204326581689069)	(57.0, 3.052624648978713)	(58.0, 2.9009227162683584)	(59.0, 2.7092385105645853)	(60.0, 2.517554304860812)	(61.0, 2.2563330118790246)	(62.0, 1.995111718897237)	(63.0, 1.754125556014036)	(64.0, 1.513139393130835)	(65.0, 1.2995741897729516)	(66.0, 1.086008986415068)	(67.0, 0.9243022267705727)	(68.0, 0.7625954671260776)	(69.0, 0.6426508266601264)	(70.0, 0.5227061861941754)	(71.0, 0.44578938171650934)	(72.0, 0.36887257723884337)	(73.0, 0.3197666863466387)	(74.0, 0.27066079545443406)	(75.0, 0.24376921490461928)	(76.0, 0.2168776343548046)	(77.0, 0.19146308650207133)	(78.0, 0.16604853864933813)	(79.0, 0.14247265686789815)	(80.0, 0.11889677508645814)	(81.0, 0.09892851298992528)	(82.0, 0.07896025089339238)	(83.0, 0.06678017742822596)	(84.0, 0.05460010396305954)	(85.0, 0.046032007211405185)	(86.0, 0.037463910459750824)	(87.0, 0.02939469348336442)	(88.0, 0.02132547650697801)	(89.0, 0.016991322302193787)	(90.0, 0.012657168097409565)	(91.0, 0.009145403041811594)	(92.0, 0.005633637986213621)	(93.0, 0.0037917041434666694)	(94.0, 0.0019497703007197182)	(95.0, 0.0013343400102690808)	(96.0, 0.0007189097198184436)	(97.0, 0.00042263177468114554)	(98.0, 0.00012635382954384765)	(99.0, 7.080171483060428e-05)	(100.0, 1.5249600117360922e-05)
SRR17133383	(0.0, 0.0003419217250926349)	(1.0, 0.0005254944545481069)	(2.0, 0.0007090671840035789)	(3.0, 0.0013228447069157676)	(4.0, 0.0019366222298279564)	(5.0, 0.0019576420080098804)	(6.0, 0.0019786617861918053)	(7.0, 0.003513105593472277)	(8.0, 0.005047549400752749)	(9.0, 0.006898691199307546)	(10.0, 0.008749832997862344)	(11.0, 0.013669862410978088)	(12.0, 0.01858989182409383)	(13.0, 0.02625930822340527)	(14.0, 0.033928724622716705)	(15.0, 0.049245136324612186)	(16.0, 0.06456154802650768)	(17.0, 0.08941953770445132)	(18.0, 0.11427752738239498)	(19.0, 0.14954030726039114)	(20.0, 0.18480308713838728)	(21.0, 0.2302618607531622)	(22.0, 0.2757206343679371)	(23.0, 0.33460403964823426)	(24.0, 0.3934874449285315)	(25.0, 0.47652818061404156)	(26.0, 0.5595689162995515)	(27.0, 0.6555718485305816)	(28.0, 0.7515747807616115)	(29.0, 0.8547636744937687)	(30.0, 0.957952568225926)	(31.0, 1.0804530328330897)	(32.0, 1.2029534974402534)	(33.0, 1.347133761264254)	(34.0, 1.4913140250882544)	(35.0, 1.6350682880744345)	(36.0, 1.7788225510606146)	(37.0, 1.9077985086663565)	(38.0, 2.036774466272098)	(39.0, 2.2280950859654274)	(40.0, 2.419415705658757)	(41.0, 2.526822568212754)	(42.0, 2.63422943076675)	(43.0, 2.729090288383229)	(44.0, 2.8239511459997075)	(45.0, 2.953493236297816)	(46.0, 3.0830353265959247)	(47.0, 3.189989563259737)	(48.0, 3.29694379992355)	(49.0, 3.352733093855468)	(50.0, 3.4085223877873854)	(51.0, 3.426226646290748)	(52.0, 3.44393090479411)	(53.0, 3.4397717913511796)	(54.0, 3.4356126779082494)	(55.0, 3.31785988053311)	(56.0, 3.20010708315797)	(57.0, 3.0474880790531995)	(58.0, 2.894869074948429)	(59.0, 2.6970673569823402)	(60.0, 2.499265639016251)	(61.0, 2.240412675980035)	(62.0, 1.9815597129438196)	(63.0, 1.7382431686211368)	(64.0, 1.4949266242984542)	(65.0, 1.279639253522095)	(66.0, 1.0643518827457357)	(67.0, 0.9003065272212714)	(68.0, 0.7362611716968069)	(69.0, 0.6152587166147417)	(70.0, 0.49425626153267643)	(71.0, 0.42056512318248634)	(72.0, 0.34687398483229626)	(73.0, 0.29533208741167244)	(74.0, 0.24379018999104865)	(75.0, 0.21766260571091678)	(76.0, 0.1915350214307849)	(77.0, 0.16835020609612242)	(78.0, 0.14516539076145996)	(79.0, 0.12341692693589564)	(80.0, 0.10166846311033134)	(81.0, 0.08408331668333348)	(82.0, 0.06649817025633564)	(83.0, 0.05565897130719002)	(84.0, 0.0448197723580444)	(85.0, 0.03779215985255438)	(86.0, 0.030764547347064367)	(87.0, 0.024339501816122846)	(88.0, 0.01791445628518133)	(89.0, 0.01408885665607111)	(90.0, 0.010263257026960891)	(91.0, 0.007261632702582107)	(92.0, 0.004260008378203319)	(93.0, 0.0029231504858329357)	(94.0, 0.001586292593462552)	(95.0, 0.0010523902276416753)	(96.0, 0.0005184878618207987)	(97.0, 0.00029848085018332473)	(98.0, 7.847383854585063e-05)	(99.0, 5.044746763661826e-05)	(100.0, 2.242109672738589e-05)
SRR17133384	(0.0, 0.00042911728003231837)	(1.0, 0.0005571210141328679)	(2.0, 0.0006851247482334173)	(3.0, 0.0011130229450838258)	(4.0, 0.0015409211419342341)	(5.0, 0.0015482356410256941)	(6.0, 0.0015555501401171542)	(7.0, 0.0027478134920251294)	(8.0, 0.003940076843933105)	(9.0, 0.005769920699980008)	(10.0, 0.007599764556026911)	(11.0, 0.011799506117706846)	(12.0, 0.015999247679386777)	(13.0, 0.022722491427620405)	(14.0, 0.02944573517585403)	(15.0, 0.04270204569594332)	(16.0, 0.05595835621603261)	(17.0, 0.07808349688451711)	(18.0, 0.10020863755300163)	(19.0, 0.13005423201252211)	(20.0, 0.15989982647204265)	(21.0, 0.2017424185247394)	(22.0, 0.24358501057743617)	(23.0, 0.2997664590157583)	(24.0, 0.35594790745408045)	(25.0, 0.42999380084011163)	(26.0, 0.5040396942261428)	(27.0, 0.5939641460565518)	(28.0, 0.6838885978869608)	(29.0, 0.7824648830593849)	(30.0, 0.881041168231809)	(31.0, 1.0050219278320556)	(32.0, 1.129002687432302)	(33.0, 1.2720450316648932)	(34.0, 1.4150873758974845)	(35.0, 1.5604362255102495)	(36.0, 1.7057850751230144)	(37.0, 1.8389638173307719)	(38.0, 1.9721425595385293)	(39.0, 2.1747700324533352)	(40.0, 2.3773975053681413)	(41.0, 2.494425833581955)	(42.0, 2.611454161795769)	(43.0, 2.7003131349251888)	(44.0, 2.789172108054608)	(45.0, 2.9340455152264284)	(46.0, 3.0789189223982483)	(47.0, 3.196098416926619)	(48.0, 3.31327791145499)	(49.0, 3.3852708687626847)	(50.0, 3.457263826070379)	(51.0, 3.482551268512738)	(52.0, 3.5078387109550975)	(53.0, 3.5107730441739546)	(54.0, 3.5137073773928122)	(55.0, 3.3958963977762116)	(56.0, 3.2780854181596117)	(57.0, 3.126391240585005)	(58.0, 2.9746970630103986)	(59.0, 2.7849040978347412)	(60.0, 2.595111132659084)	(61.0, 2.324322280877326)	(62.0, 2.0535334290955682)	(63.0, 1.8029508810539687)	(64.0, 1.552368333012369)	(65.0, 1.3292675771405666)	(66.0, 1.106166821268764)	(67.0, 0.935557349043642)	(68.0, 0.7649478768185201)	(69.0, 0.6376073239689296)	(70.0, 0.5102667711193392)	(71.0, 0.4310227070456437)	(72.0, 0.3517786429719483)	(73.0, 0.29810606772199694)	(74.0, 0.24443349247204554)	(75.0, 0.22100515188209924)	(76.0, 0.19757681129215296)	(77.0, 0.1728367371984715)	(78.0, 0.14809666310479006)	(79.0, 0.1276953060555263)	(80.0, 0.10729394900626252)	(81.0, 0.09089606112639116)	(82.0, 0.07449817324651982)	(83.0, 0.06294248376519497)	(84.0, 0.05138679428387013)	(85.0, 0.043384732277812914)	(86.0, 0.035382670271755706)	(87.0, 0.027799972880275536)	(88.0, 0.020217275488795365)	(89.0, 0.015277550435696062)	(90.0, 0.01033782538259676)	(91.0, 0.007468103572380632)	(92.0, 0.004598381762164503)	(93.0, 0.003158644524328798)	(94.0, 0.0017189072864930933)	(95.0, 0.0012068923500908955)	(96.0, 0.0006948774136886973)	(97.0, 0.00039254478457501855)	(98.0, 9.021215546133967e-05)	(99.0, 5.3639660004039796e-05)	(100.0, 1.7067164546739936e-05)
SRR17133385	(0.0, 0.0005242077793021735)	(1.0, 0.0008689668374739349)	(2.0, 0.0012137258956456962)	(3.0, 0.001861916427728882)	(4.0, 0.0025101069598120677)	(5.0, 0.0022349522540787686)	(6.0, 0.0019597975483454703)	(7.0, 0.0033584100051558337)	(8.0, 0.004757022461966197)	(9.0, 0.006712469738284264)	(10.0, 0.00866791701460233)	(11.0, 0.013364035668184872)	(12.0, 0.018060154321767413)	(13.0, 0.025625277377422845)	(14.0, 0.03319040043307828)	(15.0, 0.048504445537546965)	(16.0, 0.06381849064201564)	(17.0, 0.08839208975681359)	(18.0, 0.11296568887161154)	(19.0, 0.1424159429291293)	(20.0, 0.17186619698664707)	(21.0, 0.21662070803657182)	(22.0, 0.26137521908649664)	(23.0, 0.3165366683939784)	(24.0, 0.3716981177014603)	(25.0, 0.44519270090042906)	(26.0, 0.518687284099398)	(27.0, 0.6107053255910526)	(28.0, 0.7027233670827074)	(29.0, 0.7961606848233028)	(30.0, 0.889598002563898)	(31.0, 1.008371304592094)	(32.0, 1.1271446066202897)	(33.0, 1.2625598742893192)	(34.0, 1.3979751419583486)	(35.0, 1.541376421501685)	(36.0, 1.6847777010450211)	(37.0, 1.8176893871622797)	(38.0, 1.9506010732795385)	(39.0, 2.1543699901791524)	(40.0, 2.3581389070787657)	(41.0, 2.4725782505996605)	(42.0, 2.5870175941205553)	(43.0, 2.673971918972312)	(44.0, 2.760926243824068)	(45.0, 2.906477645316949)	(46.0, 3.05202904680983)	(47.0, 3.1661660464248196)	(48.0, 3.2803030460398097)	(49.0, 3.3576628459351268)	(50.0, 3.4350226458304443)	(51.0, 3.46507106229173)	(52.0, 3.4951194787530158)	(53.0, 3.5058298484844848)	(54.0, 3.516540218215953)	(55.0, 3.3996777731757946)	(56.0, 3.2828153281356354)	(57.0, 3.138017611271503)	(58.0, 2.99321989440737)	(59.0, 2.7997197946284427)	(60.0, 2.606219694849516)	(61.0, 2.3338295869896326)	(62.0, 2.0614394791297492)	(63.0, 1.8155044630365162)	(64.0, 1.5695694469432828)	(65.0, 1.343069271132477)	(66.0, 1.1165690953216707)	(67.0, 0.9453521764351137)	(68.0, 0.7741352575485567)	(69.0, 0.6456358348350926)	(70.0, 0.5171364121216284)	(71.0, 0.43700222624083435)	(72.0, 0.3568680403600403)	(73.0, 0.30378928378567804)	(74.0, 0.25071052721131587)	(75.0, 0.22597705559951084)	(76.0, 0.2012435839877058)	(77.0, 0.1767548151774422)	(78.0, 0.15226604636717864)	(79.0, 0.1303526385971382)	(80.0, 0.10843923082709775)	(81.0, 0.09171025974571594)	(82.0, 0.07498128866433414)	(83.0, 0.06359445163260435)	(84.0, 0.05220761460087456)	(85.0, 0.04388989448447825)	(86.0, 0.03557217436808193)	(87.0, 0.02777866203098779)	(88.0, 0.01998514969389365)	(89.0, 0.015101969343132743)	(90.0, 0.010218788992371832)	(91.0, 0.007490080863182715)	(92.0, 0.004761372733993601)	(93.0, 0.0032485656364638848)	(94.0, 0.001735758538934168)	(95.0, 0.0012235140077073554)	(96.0, 0.0007112694764805425)	(97.0, 0.00040783800256911836)	(98.0, 0.00010440652865769431)	(99.0, 5.872867236995305e-05)	(100.0, 1.3050816082211789e-05)
SRR17133386	(0.0, 0.0004281182380055244)	(1.0, 0.0006588140761017656)	(2.0, 0.0008895099141980067)	(3.0, 0.0015616333655745554)	(4.0, 0.0022337568169511044)	(5.0, 0.002001951864248631)	(6.0, 0.001770146911546158)	(7.0, 0.003077793032293602)	(8.0, 0.004385439153041046)	(9.0, 0.006295334504972427)	(10.0, 0.008205229856903808)	(11.0, 0.012822473962647327)	(12.0, 0.01743971806839085)	(13.0, 0.024199771593374452)	(14.0, 0.030959825118358056)	(15.0, 0.0456589209947498)	(16.0, 0.060358016871141555)	(17.0, 0.08271887644738347)	(18.0, 0.10507973602362539)	(19.0, 0.13412522933162713)	(20.0, 0.16317072263962887)	(21.0, 0.20478359355084458)	(22.0, 0.24639646446206034)	(23.0, 0.2995541093095442)	(24.0, 0.3527117541570281)	(25.0, 0.42555840149434115)	(26.0, 0.4984050488316542)	(27.0, 0.588867763459749)	(28.0, 0.6793304780878439)	(29.0, 0.7689469382713836)	(30.0, 0.8585633984549235)	(31.0, 0.9756592821224656)	(32.0, 1.0927551657900076)	(33.0, 1.2279540180604673)	(34.0, 1.3631528703309268)	(35.0, 1.507530755082562)	(36.0, 1.6519086398341973)	(37.0, 1.785175414460601)	(38.0, 1.9184421890870045)	(39.0, 2.120050387520207)	(40.0, 2.3216585859534096)	(41.0, 2.4390683490545153)	(42.0, 2.556478112155621)	(43.0, 2.6458583309280335)	(44.0, 2.735238549700446)	(45.0, 2.8819256110622558)	(46.0, 3.0286126724240656)	(47.0, 3.144590568568526)	(48.0, 3.2605684647129864)	(49.0, 3.3417035255026706)	(50.0, 3.422838586292355)	(51.0, 3.4624694694022344)	(52.0, 3.5021003525121137)	(53.0, 3.5191197161447425)	(54.0, 3.5361390797773713)	(55.0, 3.426163711881838)	(56.0, 3.316188343986305)	(57.0, 3.1732267985868283)	(58.0, 3.0302652531873515)	(59.0, 2.8433705691204216)	(60.0, 2.6564758850534917)	(61.0, 2.388712327702373)	(62.0, 2.120948770351255)	(63.0, 1.8618995264613007)	(64.0, 1.6028502825713462)	(65.0, 1.3742051973820282)	(66.0, 1.1455601121927097)	(67.0, 0.9753032563338652)	(68.0, 0.8050464004750204)	(69.0, 0.6739745636543498)	(70.0, 0.5429027268336792)	(71.0, 0.45858783446792795)	(72.0, 0.3742729421021768)	(73.0, 0.32079809047731056)	(74.0, 0.26732323885244436)	(75.0, 0.2408309273679885)	(76.0, 0.21433861588353265)	(77.0, 0.1882766408662948)	(78.0, 0.16221466584905694)	(79.0, 0.1403007794591265)	(80.0, 0.11838689306919606)	(81.0, 0.10022957785057315)	(82.0, 0.08207226263195025)	(83.0, 0.06973558086683251)	(84.0, 0.057398899101714765)	(85.0, 0.048760005433774276)	(86.0, 0.040121111765833786)	(87.0, 0.031695168102289825)	(88.0, 0.02326922443874586)	(89.0, 0.017521792549252006)	(90.0, 0.011774360659758155)	(91.0, 0.008618929605028318)	(92.0, 0.005463498550298481)	(93.0, 0.0037177521600894243)	(94.0, 0.0019720057698803693)	(95.0, 0.0014263213836142603)	(96.0, 0.0008806369973481513)	(97.0, 0.0005113018334729191)	(98.0, 0.00014196666959768686)	(99.0, 8.318359546739465e-05)	(100.0, 2.440052133710243e-05)
SRR17133387	(0.0, 0.00045438861994562344)	(1.0, 0.0006716085455781653)	(2.0, 0.0008888284712107072)	(3.0, 0.0014861832667001976)	(4.0, 0.0020835380621896877)	(5.0, 0.0019782528941535067)	(6.0, 0.001872967726117326)	(7.0, 0.003115332708944262)	(8.0, 0.004357697691771198)	(9.0, 0.006143112488679489)	(10.0, 0.00792852728558778)	(11.0, 0.012165424100349044)	(12.0, 0.01640232091511031)	(13.0, 0.022968790605787916)	(14.0, 0.029535260296465523)	(15.0, 0.0437343505373029)	(16.0, 0.057933440778140284)	(17.0, 0.07962329365852029)	(18.0, 0.10131314653890028)	(19.0, 0.13053476786111065)	(20.0, 0.15975638918332102)	(21.0, 0.2003609995676326)	(22.0, 0.2409656099519442)	(23.0, 0.2949935251284055)	(24.0, 0.3490214403048668)	(25.0, 0.4215474053728218)	(26.0, 0.4940733704407768)	(27.0, 0.582713507542901)	(28.0, 0.6713536446450251)	(29.0, 0.7677228213459316)	(30.0, 0.8640919980468382)	(31.0, 0.9861751375769603)	(32.0, 1.1082582771070824)	(33.0, 1.2485790242709243)	(34.0, 1.3888997714347662)	(35.0, 1.5357880965542126)	(36.0, 1.6826764216736587)	(37.0, 1.8183890032722965)	(38.0, 1.9541015848709338)	(39.0, 2.1558069097946495)	(40.0, 2.357512234718365)	(41.0, 2.4809995459106116)	(42.0, 2.6044868571028585)	(43.0, 2.7005911584862843)	(44.0, 2.7966954598697105)	(45.0, 2.945512165961609)	(46.0, 3.094328872053507)	(47.0, 3.2084169884024396)	(48.0, 3.322505104751372)	(49.0, 3.398208465364166)	(50.0, 3.473911825976961)	(51.0, 3.4996324383957362)	(52.0, 3.525353050814512)	(53.0, 3.5286989026282094)	(54.0, 3.5320447544419062)	(55.0, 3.4140056736293007)	(56.0, 3.2959665928166944)	(57.0, 3.150700767549932)	(58.0, 3.0054349422831694)	(59.0, 2.8075021511699294)	(60.0, 2.609569360056689)	(61.0, 2.3395860495290464)	(62.0, 2.0696027390014042)	(63.0, 1.8125284983399246)	(64.0, 1.5554542576784447)	(65.0, 1.328920473601944)	(66.0, 1.1023866895254435)	(67.0, 0.9327412524012084)	(68.0, 0.7630958152769732)	(69.0, 0.6370317881301568)	(70.0, 0.5109677609833404)	(71.0, 0.43078257700698497)	(72.0, 0.3505973930306295)	(73.0, 0.2984901009721334)	(74.0, 0.2463828089136374)	(75.0, 0.22135597033897378)	(76.0, 0.19632913176431022)	(77.0, 0.17146742466372442)	(78.0, 0.14660571756313867)	(79.0, 0.12736513017075826)	(80.0, 0.10812454277837784)	(81.0, 0.09122571917610743)	(82.0, 0.07432689557383702)	(83.0, 0.06252054930973769)	(84.0, 0.05071420304563837)	(85.0, 0.042959673353541956)	(86.0, 0.035205143661445545)	(87.0, 0.027437314790228776)	(88.0, 0.019669485919012013)	(89.0, 0.014847425222954921)	(90.0, 0.010025364526897828)	(91.0, 0.00717934019514085)	(92.0, 0.004333315863383872)	(93.0, 0.003028888044661924)	(94.0, 0.0017244602259399756)	(95.0, 0.0011924930611255874)	(96.0, 0.0006605258963111989)	(97.0, 0.0003901092541972182)	(98.0, 0.0001196926120832374)	(99.0, 6.649589560179855e-05)	(100.0, 1.3299179120359708e-05)
