Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR17133380	(1.0, 35.31568764338274)	(2.0, 11.846321983819672)	(3.0, 6.290629434934923)	(4.0, 4.084106333337985)	(5.0, 2.9284098997357066)	(6.0, 2.21210591098652)	(7.0, 1.8236217668675785)	(8.0, 1.486565251268491)	(9.0, 1.2350793770440318)	('>10', 14.915524650380569)	('>50', 5.171398543645175)	('>100', 9.138322793728126)	('>500', 2.0410515123083655)	('>1k', 1.4054712339445172)	('>5k', 0.10570366461548203)	('>10k+', 0.0)
SRR17133381	(1.0, 36.020479456771234)	(2.0, 11.631236814015258)	(3.0, 6.369774058557734)	(4.0, 4.134626715496823)	(5.0, 2.9997818024852116)	(6.0, 2.252609471338131)	(7.0, 1.8592239435202984)	(8.0, 1.4375578877500672)	(9.0, 1.2453761594483557)	('>10', 15.174768265707547)	('>50', 5.131966476346859)	('>100', 8.853173757498483)	('>500', 1.6490050895996071)	('>1k', 1.1630931411014742)	('>5k', 0.07732696036283172)	('>10k+', 0.0)
SRR17133382	(1.0, 38.66761081208012)	(2.0, 12.541266251569027)	(3.0, 6.917719383900889)	(4.0, 4.5436090536170255)	(5.0, 3.3423838850528584)	(6.0, 2.463502448926839)	(7.0, 2.016185450123262)	(8.0, 1.700104511388028)	(9.0, 1.4309708093965372)	('>10', 14.937359119071077)	('>50', 4.113669943457319)	('>100', 5.452310502054748)	('>500', 1.0230688258884149)	('>1k', 0.796754363523925)	('>5k', 0.05348463994980801)	('>10k+', 0.0)
SRR17133383	(1.0, 40.8184795228839)	(2.0, 12.396647867201791)	(3.0, 6.6653348977773526)	(4.0, 4.240943582318713)	(5.0, 3.0865380121212107)	(6.0, 2.367747872113174)	(7.0, 1.8540853560562724)	(8.0, 1.5242739780590577)	(9.0, 1.3036210457895467)	('>10', 14.429477545018093)	('>50', 4.044108395267699)	('>100', 5.528831820548933)	('>500', 0.9644821468083327)	('>1k', 0.7433838125174913)	('>5k', 0.03204414551861166)	('>10k+', 0.0)
SRR17133384	(1.0, 38.60720887954372)	(2.0, 12.233302524158475)	(3.0, 6.660536353435209)	(4.0, 4.259641623984092)	(5.0, 3.066503575452189)	(6.0, 2.3284202956815356)	(7.0, 1.8386592834939164)	(8.0, 1.6249428898152736)	(9.0, 1.3680054161632056)	('>10', 14.381668345801216)	('>50', 4.37784001208108)	('>100', 6.945545010898463)	('>500', 1.2979587023755301)	('>1k', 0.9462701838200676)	('>5k', 0.0634969032961004)	('>10k+', 0.0)
SRR17133385	(1.0, 34.47813699974364)	(2.0, 12.158502709285331)	(3.0, 6.818432891968163)	(4.0, 4.45163375742675)	(5.0, 3.247687059216526)	(6.0, 2.4626399404337898)	(7.0, 1.9126263082381856)	(8.0, 1.6702422958554115)	(9.0, 1.4428295752349365)	('>10', 15.690993189494504)	('>50', 4.815424292943288)	('>100', 7.811393396913001)	('>500', 1.6872146393342606)	('>1k', 1.2571049545389754)	('>5k', 0.0951379893731003)	('>10k+', 0.0)
SRR17133386	(1.0, 36.13665641060908)	(2.0, 12.15510374171736)	(3.0, 6.72055760913393)	(4.0, 4.394044444878417)	(5.0, 3.091599446164221)	(6.0, 2.4911244023108092)	(7.0, 1.9447019311433718)	(8.0, 1.6087567446212905)	(9.0, 1.3694181065024082)	('>10', 15.447103217418734)	('>50', 4.749816745839188)	('>100', 7.345467830202969)	('>500', 1.4167739475728687)	('>1k', 1.0651873005268486)	('>5k', 0.06368812135865626)	('>10k+', 0.0)
SRR17133387	(1.0, 37.32127012654905)	(2.0, 12.000364769920056)	(3.0, 6.8218000235151095)	(4.0, 4.334925064343352)	(5.0, 3.188081127659872)	(6.0, 2.4109726535718203)	(7.0, 1.986191078504416)	(8.0, 1.6330595585035201)	(9.0, 1.3262012470417317)	('>10', 15.561715216270503)	('>50', 4.470024926735243)	('>100', 6.6297569702764525)	('>500', 1.3086816084435273)	('>1k', 0.9457760403671356)	('>5k', 0.06117958829819479)	('>10k+', 0.0)
