Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR17133380	(1, 35.9244839943972)	(2, 35.838907157960286)	(3, 36.12289241581221)	(4, 36.08459238047607)	(5, 36.069076496553585)	(6, 36.060864318405244)	(7, 36.05365267223083)	(8, 36.123376961057104)	(9, 36.1142289990759)	(10, 35.947175020398106)	(11, 35.99323035536737)	(12, 36.04821711463898)	(13, 36.092033043223466)	(14, 36.0697590609761)	(15, 36.07015363383843)	(16, 35.93688299695608)	(17, 36.04616311531107)	(18, 36.06215008858904)	(19, 36.05976795207714)	(20, 36.050020781133476)	(21, 36.04806199443548)	(22, 36.050253039554406)	(23, 36.03427694645102)	(24, 36.048924681258626)	(25, 36.02255882077737)	(26, 36.01517802119467)	(27, 36.02656188125946)	(28, 36.034068846458574)	(29, 36.00797814337237)	(30, 36.011904776179044)	(31, 36.00243413930558)	(32, 35.999608891029986)	(33, 35.99383316144878)	(34, 35.981398587380305)	(35, 35.976309552247066)	(36, 35.96702476651922)	(37, 35.966092002489916)	(38, 35.94374487882394)	(39, 35.93032069736501)	(40, 35.93223818380842)	(41, 35.90756341332127)	(42, 35.921042928239565)	(43, 35.90050222441839)	(44, 35.88733357163136)	(45, 35.894574394437235)	(46, 35.88066788817721)	(47, 35.86807450796853)	(48, 35.84713985300929)	(49, 35.640396462904086)	(50, 35.769221860127054)
SRR17133381	(1, 35.937702130799515)	(2, 35.81076000280221)	(3, 36.10688603548573)	(4, 36.05839765861749)	(5, 36.041618614403845)	(6, 36.03213506651625)	(7, 36.00583377932246)	(8, 36.08487349098473)	(9, 36.0704125507379)	(10, 35.90167449609085)	(11, 35.94362247996013)	(12, 36.00132204572741)	(13, 36.04808240780982)	(14, 36.027935572890506)	(15, 36.030149933601244)	(16, 35.877162494572914)	(17, 36.00146588957317)	(18, 36.01412524604435)	(19, 36.01102687156765)	(20, 36.000739598937)	(21, 36.00131958610745)	(22, 36.001841947896025)	(23, 35.98956831254039)	(24, 36.00519559578694)	(25, 35.98032009757664)	(26, 35.974301714991974)	(27, 35.98187260090975)	(28, 35.987017203504344)	(29, 35.95595220343517)	(30, 35.96127653397383)	(31, 35.9507534892015)	(32, 35.9502694711312)	(33, 35.94563207730937)	(34, 35.93343341644067)	(35, 35.928602547156075)	(36, 35.92112271109853)	(37, 35.91815957179774)	(38, 35.89401185756429)	(39, 35.88093331157741)	(40, 35.877553969442296)	(41, 35.85331972929247)	(42, 35.86805785992421)	(43, 35.84856515214836)	(44, 35.83369253301107)	(45, 35.84597354722657)	(46, 35.830829886754266)	(47, 35.81697190477142)	(48, 35.792773592641694)	(49, 35.565265115188176)	(50, 35.70572013170386)
SRR17133382	(1, 35.77801905996643)	(2, 35.7627097486665)	(3, 36.095935957355564)	(4, 36.064028919819776)	(5, 36.06017957814181)	(6, 36.03985311259324)	(7, 36.093089209979134)	(8, 36.098427302458404)	(9, 36.07184702914503)	(10, 35.97731425068134)	(11, 36.01794286959647)	(12, 36.05954035946389)	(13, 36.09212330180171)	(14, 35.99176021809857)	(15, 36.06795808213832)	(16, 36.02673830249644)	(17, 36.029952782518336)	(18, 36.03828305976392)	(19, 36.03046800035396)	(20, 36.02159636314156)	(21, 36.02835946319225)	(22, 36.015782440304335)	(23, 36.01086907031654)	(24, 36.01020170527736)	(25, 36.0042545882817)	(26, 35.991766622920714)	(27, 35.990310680494055)	(28, 35.9833902483838)	(29, 35.976963771842456)	(30, 35.95565985200852)	(31, 35.94776105063831)	(32, 35.935052184268734)	(33, 35.941685314357166)	(34, 35.93142766491905)	(35, 35.92637003393728)	(36, 35.91534981853222)	(37, 35.90410068519833)	(38, 35.89145656417368)	(39, 35.877458716455344)	(40, 35.867645352536876)	(41, 35.85335114019123)	(42, 35.84211120017348)	(43, 35.83760120327001)	(44, 35.823742998102475)	(45, 35.83174588872506)	(46, 35.80213234392919)	(47, 35.802867983501)	(48, 35.75991968614454)	(49, 35.763393060405704)	(50, 35.74327446837035)
SRR17133383	(1, 36.01795422102442)	(2, 35.95713329536328)	(3, 36.31117387512021)	(4, 36.27751930971399)	(5, 36.29226378843088)	(6, 36.28304565156794)	(7, 36.30262029835363)	(8, 36.32868202923784)	(9, 36.305422930338956)	(10, 36.23805113267531)	(11, 36.27643900718892)	(12, 36.30041619645509)	(13, 36.339632697141475)	(14, 36.32138279844261)	(15, 36.31953507922732)	(16, 36.278901848072344)	(17, 36.29055939581532)	(18, 36.297768998439665)	(19, 36.291664473607135)	(20, 36.27549547310474)	(21, 36.284521517571406)	(22, 36.276941743314445)	(23, 36.27415738448966)	(24, 36.273965516303946)	(25, 36.26880744029287)	(26, 36.25652333614325)	(27, 36.25587116368027)	(28, 36.25141223224425)	(29, 36.24440021517487)	(30, 36.231646277799236)	(31, 36.22315604051552)	(32, 36.21448021294174)	(33, 36.216098452650066)	(34, 36.20972274514664)	(35, 36.20258085411107)	(36, 36.19120345746134)	(37, 36.18330883552715)	(38, 36.172842798746416)	(39, 36.16499195392383)	(40, 36.15363092464491)	(41, 36.14148190735698)	(42, 36.13589037628305)	(43, 36.12729980477426)	(44, 36.11346466803133)	(45, 36.11940652810342)	(46, 36.09174382172391)	(47, 36.0957035483507)	(48, 36.048095126710635)	(49, 36.06187505160346)	(50, 36.0472194163205)
SRR17133384	(1, 35.78028264136701)	(2, 35.67467896735108)	(3, 36.00529700213485)	(4, 35.966208552483366)	(5, 35.961399280059844)	(6, 35.95099423326178)	(7, 35.98666087034543)	(8, 36.00824361713852)	(9, 35.99482734407229)	(10, 35.86613765076368)	(11, 35.88897127163746)	(12, 35.94008034227878)	(13, 35.99279479559922)	(14, 35.968909986024464)	(15, 35.97041403873555)	(16, 35.89892243039782)	(17, 35.939680630176824)	(18, 35.95268490281003)	(19, 35.94946453109777)	(20, 35.93805335281262)	(21, 35.93645864927835)	(22, 35.943117949448144)	(23, 35.92792728038753)	(24, 35.94491682457822)	(25, 35.915049840885615)	(26, 35.90818851470162)	(27, 35.92034235680437)	(28, 35.92630097828769)	(29, 35.894008999739604)	(30, 35.90039995591805)	(31, 35.89092375090578)	(32, 35.8934016050901)	(33, 35.88781826533628)	(34, 35.87321270613432)	(35, 35.87204653376414)	(36, 35.86212619335787)	(37, 35.85896755588021)	(38, 35.8334012930055)	(39, 35.82127661130741)	(40, 35.8196525035524)	(41, 35.78989587102324)	(42, 35.81113137493746)	(43, 35.78960816803415)	(44, 35.778096635045344)	(45, 35.78986422369444)	(46, 35.77397077912895)	(47, 35.76247982421835)	(48, 35.739253415619636)	(49, 35.55686244773802)	(50, 35.68269344612591)
SRR17133385	(1, 35.810913454615694)	(2, 35.74425237078313)	(3, 36.100150997536446)	(4, 36.067854229736376)	(5, 36.07264560647632)	(6, 36.0600595637646)	(7, 36.1133848375156)	(8, 36.123928345991864)	(9, 36.09619195610761)	(10, 36.00449890873719)	(11, 36.05802216283634)	(12, 36.09071615290817)	(13, 36.12147392910729)	(14, 36.02211711509875)	(15, 36.098097979173566)	(16, 36.056898534092774)	(17, 36.062399916823026)	(18, 36.07066401938824)	(19, 36.06431890366479)	(20, 36.05244656466466)	(21, 36.06049110959045)	(22, 36.04871547687771)	(23, 36.043001583929794)	(24, 36.04239428758614)	(25, 36.03745682910394)	(26, 36.0246043329463)	(27, 36.022968896073586)	(28, 36.01764126274137)	(29, 36.01120078931124)	(30, 35.99157002200797)	(31, 35.98341084772218)	(32, 35.97030908164699)	(33, 35.97560708970629)	(34, 35.96797229580204)	(35, 35.959584732848334)	(36, 35.94839125197448)	(37, 35.93850002153379)	(38, 35.92293178835288)	(39, 35.91180330036851)	(40, 35.90474891819901)	(41, 35.89044286955353)	(42, 35.87902287062369)	(43, 35.87547714742989)	(44, 35.857826401120974)	(45, 35.866272518578874)	(46, 35.835983569936744)	(47, 35.8383587250779)	(48, 35.79254391479058)	(49, 35.798650723252535)	(50, 35.778756547685596)
SRR17133386	(1, 35.85680235972915)	(2, 35.71699443221291)	(3, 36.01120873121436)	(4, 35.956629458026164)	(5, 35.93059544723681)	(6, 35.923261376950244)	(7, 35.89130705888183)	(8, 35.98226889109597)	(9, 35.96299966553616)	(10, 35.777953140723746)	(11, 35.82104329915952)	(12, 35.88672181201588)	(13, 35.931970036405055)	(14, 35.91047029768968)	(15, 35.91261545357827)	(16, 35.74226541824417)	(17, 35.88283082495802)	(18, 35.89690674403596)	(19, 35.895318140597524)	(20, 35.88472718482107)	(21, 35.88658929530256)	(22, 35.88664275450562)	(23, 35.87102614563183)	(24, 35.88792404516429)	(25, 35.86303073398421)	(26, 35.856425039793834)	(27, 35.863746732389394)	(28, 35.870302294713)	(29, 35.83937914034318)	(30, 35.84248088323299)	(31, 35.83353167954664)	(32, 35.83370518904305)	(33, 35.830000577181934)	(34, 35.815865520246994)	(35, 35.8112265036266)	(36, 35.80016932148914)	(37, 35.79792341385768)	(38, 35.77369996201956)	(39, 35.76061257237123)	(40, 35.75923762828712)	(41, 35.7361256398634)	(42, 35.74852617857246)	(43, 35.72777358212995)	(44, 35.712554434667155)	(45, 35.723714276220285)	(46, 35.70866846079597)	(47, 35.69523347541651)	(48, 35.67212219682454)	(49, 35.432676119348095)	(50, 35.58112017038801)
SRR17133387	(1, 35.84248205368635)	(2, 35.82201080812894)	(3, 36.16372332878029)	(4, 36.12798545924352)	(5, 36.133918785472154)	(6, 36.1241320311044)	(7, 36.17420979565593)	(8, 36.177971238021236)	(9, 36.15058159834126)	(10, 36.06951983337409)	(11, 36.105792018347856)	(12, 36.14737304588969)	(13, 36.1872605599225)	(14, 36.15217173313965)	(15, 36.164522607576366)	(16, 36.12394907915812)	(17, 36.129358640607194)	(18, 36.13601340128548)	(19, 36.130318706102834)	(20, 36.117228886671576)	(21, 36.1242812475452)	(22, 36.11457096327857)	(23, 36.11331530205291)	(24, 36.11332913316685)	(25, 36.10908892147279)	(26, 36.09697721004799)	(27, 36.09461678859621)	(28, 36.087747867304294)	(29, 36.078751481303435)	(30, 36.0612441282045)	(31, 36.054359292265445)	(32, 36.04274102356272)	(33, 36.050385772819695)	(34, 36.044756952750255)	(35, 36.038667095549414)	(36, 36.02767738891266)	(37, 36.01796027775005)	(38, 36.00417668609702)	(39, 35.991266937129964)	(40, 35.981221071028266)	(41, 35.968499992641135)	(42, 35.95839029062894)	(43, 35.95750310446445)	(44, 35.9411705537712)	(45, 35.950647526651046)	(46, 35.924503662496704)	(47, 35.92722918989215)	(48, 35.882015455737864)	(49, 35.88883326397089)	(50, 35.86824135081042)
