Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR17133380	(0.0, 146.0)	(1.0, 193.5)	(2.0, 241.0)	(3.0, 409.0)	(4.0, 577.0)	(5.0, 601.5)	(6.0, 626.0)	(7.0, 1127.5)	(8.0, 1629.0)	(9.0, 2416.5)	(10.0, 3204.0)	(11.0, 4937.5)	(12.0, 6671.0)	(13.0, 9480.5)	(14.0, 12290.0)	(15.0, 17564.5)	(16.0, 22839.0)	(17.0, 31828.0)	(18.0, 40817.0)	(19.0, 53612.5)	(20.0, 66408.0)	(21.0, 84111.0)	(22.0, 101814.0)	(23.0, 126622.0)	(24.0, 151430.0)	(25.0, 182707.5)	(26.0, 213985.0)	(27.0, 252932.5)	(28.0, 291880.0)	(29.0, 334949.0)	(30.0, 378018.0)	(31.0, 430408.5)	(32.0, 482799.0)	(33.0, 544391.0)	(34.0, 605983.0)	(35.0, 672206.5)	(36.0, 738430.0)	(37.0, 800053.5)	(38.0, 861677.0)	(39.0, 956287.5)	(40.0, 1050898.0)	(41.0, 1109314.0)	(42.0, 1167730.0)	(43.0, 1209565.0)	(44.0, 1251400.0)	(45.0, 1325342.0)	(46.0, 1399284.0)	(47.0, 1450692.5)	(48.0, 1502101.0)	(49.0, 1537643.0)	(50.0, 1573185.0)	(51.0, 1591372.5)	(52.0, 1609560.0)	(53.0, 1609444.5)	(54.0, 1609329.0)	(55.0, 1553160.5)	(56.0, 1496992.0)	(57.0, 1427307.0)	(58.0, 1357622.0)	(59.0, 1269076.5)	(60.0, 1180531.0)	(61.0, 1056083.5)	(62.0, 931636.0)	(63.0, 818069.5)	(64.0, 704503.0)	(65.0, 605434.5)	(66.0, 506366.0)	(67.0, 429666.0)	(68.0, 352966.0)	(69.0, 296010.5)	(70.0, 239055.0)	(71.0, 203210.5)	(72.0, 167366.0)	(73.0, 143622.0)	(74.0, 119878.0)	(75.0, 108747.5)	(76.0, 97617.0)	(77.0, 85760.5)	(78.0, 73904.0)	(79.0, 63330.0)	(80.0, 52756.0)	(81.0, 43659.0)	(82.0, 34562.0)	(83.0, 28906.0)	(84.0, 23250.0)	(85.0, 19574.0)	(86.0, 15898.0)	(87.0, 12651.0)	(88.0, 9404.0)	(89.0, 7343.0)	(90.0, 5282.0)	(91.0, 3768.0)	(92.0, 2254.0)	(93.0, 1566.5)	(94.0, 879.0)	(95.0, 587.0)	(96.0, 295.0)	(97.0, 172.5)	(98.0, 50.0)	(99.0, 27.0)	(100.0, 4.0)
SRR17133381	(0.0, 136.0)	(1.0, 225.5)	(2.0, 315.0)	(3.0, 460.0)	(4.0, 605.0)	(5.0, 672.0)	(6.0, 739.0)	(7.0, 1291.5)	(8.0, 1844.0)	(9.0, 2717.5)	(10.0, 3591.0)	(11.0, 5480.0)	(12.0, 7369.0)	(13.0, 10540.0)	(14.0, 13711.0)	(15.0, 19343.0)	(16.0, 24975.0)	(17.0, 34593.5)	(18.0, 44212.0)	(19.0, 57444.5)	(20.0, 70677.0)	(21.0, 88677.5)	(22.0, 106678.0)	(23.0, 131299.5)	(24.0, 155921.0)	(25.0, 186727.0)	(26.0, 217533.0)	(27.0, 255147.0)	(28.0, 292761.0)	(29.0, 333872.0)	(30.0, 374983.0)	(31.0, 424724.0)	(32.0, 474465.0)	(33.0, 533426.0)	(34.0, 592387.0)	(35.0, 656141.5)	(36.0, 719896.0)	(37.0, 781540.0)	(38.0, 843184.0)	(39.0, 932447.5)	(40.0, 1021711.0)	(41.0, 1081419.5)	(42.0, 1141128.0)	(43.0, 1185900.5)	(44.0, 1230673.0)	(45.0, 1306473.0)	(46.0, 1382273.0)	(47.0, 1440362.5)	(48.0, 1498452.0)	(49.0, 1535226.0)	(50.0, 1572000.0)	(51.0, 1594089.0)	(52.0, 1616178.0)	(53.0, 1623228.5)	(54.0, 1630279.0)	(55.0, 1579380.0)	(56.0, 1528481.0)	(57.0, 1461507.5)	(58.0, 1394534.0)	(59.0, 1308424.0)	(60.0, 1222314.0)	(61.0, 1097358.5)	(62.0, 972403.0)	(63.0, 856632.5)	(64.0, 740862.0)	(65.0, 639230.0)	(66.0, 537598.0)	(67.0, 459119.0)	(68.0, 380640.0)	(69.0, 320782.5)	(70.0, 260925.0)	(71.0, 223754.5)	(72.0, 186584.0)	(73.0, 161267.5)	(74.0, 135951.0)	(75.0, 123837.0)	(76.0, 111723.0)	(77.0, 98571.0)	(78.0, 85419.0)	(79.0, 73951.5)	(80.0, 62484.0)	(81.0, 51704.5)	(82.0, 40925.0)	(83.0, 34159.0)	(84.0, 27393.0)	(85.0, 23319.0)	(86.0, 19245.0)	(87.0, 15205.0)	(88.0, 11165.0)	(89.0, 8730.5)	(90.0, 6296.0)	(91.0, 4526.0)	(92.0, 2756.0)	(93.0, 1866.0)	(94.0, 976.0)	(95.0, 659.0)	(96.0, 342.0)	(97.0, 193.0)	(98.0, 44.0)	(99.0, 26.5)	(100.0, 9.0)
SRR17133382	(0.0, 135.0)	(1.0, 229.0)	(2.0, 323.0)	(3.0, 561.0)	(4.0, 799.0)	(5.0, 815.0)	(6.0, 831.0)	(7.0, 1468.5)	(8.0, 2106.0)	(9.0, 2995.5)	(10.0, 3885.0)	(11.0, 5947.0)	(12.0, 8009.0)	(13.0, 11231.5)	(14.0, 14454.0)	(15.0, 20947.5)	(16.0, 27441.0)	(17.0, 37933.0)	(18.0, 48425.0)	(19.0, 63589.5)	(20.0, 78754.0)	(21.0, 98415.5)	(22.0, 118077.0)	(23.0, 143795.0)	(24.0, 169513.0)	(25.0, 205556.5)	(26.0, 241600.0)	(27.0, 285319.5)	(28.0, 329039.0)	(29.0, 376694.5)	(30.0, 424350.0)	(31.0, 480557.0)	(32.0, 536764.0)	(33.0, 601152.5)	(34.0, 665541.0)	(35.0, 732772.5)	(36.0, 800004.0)	(37.0, 861610.5)	(38.0, 923217.0)	(39.0, 1011109.0)	(40.0, 1099001.0)	(41.0, 1153382.0)	(42.0, 1207763.0)	(43.0, 1253090.0)	(44.0, 1298417.0)	(45.0, 1358522.0)	(46.0, 1418627.0)	(47.0, 1469296.0)	(48.0, 1519965.0)	(49.0, 1546728.0)	(50.0, 1573491.0)	(51.0, 1579480.0)	(52.0, 1585469.0)	(53.0, 1581016.5)	(54.0, 1576564.0)	(55.0, 1523720.5)	(56.0, 1470877.0)	(57.0, 1401241.5)	(58.0, 1331606.0)	(59.0, 1243617.5)	(60.0, 1155629.0)	(61.0, 1035721.0)	(62.0, 915813.0)	(63.0, 805193.5)	(64.0, 694574.0)	(65.0, 596541.5)	(66.0, 498509.0)	(67.0, 424281.0)	(68.0, 350053.0)	(69.0, 294995.0)	(70.0, 239937.0)	(71.0, 204630.0)	(72.0, 169323.0)	(73.0, 146782.0)	(74.0, 124241.0)	(75.0, 111897.0)	(76.0, 99553.0)	(77.0, 87887.0)	(78.0, 76221.0)	(79.0, 65399.0)	(80.0, 54577.0)	(81.0, 45411.0)	(82.0, 36245.0)	(83.0, 30654.0)	(84.0, 25063.0)	(85.0, 21130.0)	(86.0, 17197.0)	(87.0, 13493.0)	(88.0, 9789.0)	(89.0, 7799.5)	(90.0, 5810.0)	(91.0, 4198.0)	(92.0, 2586.0)	(93.0, 1740.5)	(94.0, 895.0)	(95.0, 612.5)	(96.0, 330.0)	(97.0, 194.0)	(98.0, 58.0)	(99.0, 32.5)	(100.0, 7.0)
SRR17133383	(0.0, 122.0)	(1.0, 187.5)	(2.0, 253.0)	(3.0, 472.0)	(4.0, 691.0)	(5.0, 698.5)	(6.0, 706.0)	(7.0, 1253.5)	(8.0, 1801.0)	(9.0, 2461.5)	(10.0, 3122.0)	(11.0, 4877.5)	(12.0, 6633.0)	(13.0, 9369.5)	(14.0, 12106.0)	(15.0, 17571.0)	(16.0, 23036.0)	(17.0, 31905.5)	(18.0, 40775.0)	(19.0, 53357.0)	(20.0, 65939.0)	(21.0, 82159.0)	(22.0, 98379.0)	(23.0, 119389.0)	(24.0, 140399.0)	(25.0, 170028.5)	(26.0, 199658.0)	(27.0, 233912.5)	(28.0, 268167.0)	(29.0, 304985.5)	(30.0, 341804.0)	(31.0, 385513.0)	(32.0, 429222.0)	(33.0, 480666.5)	(34.0, 532111.0)	(35.0, 583403.5)	(36.0, 634696.0)	(37.0, 680715.5)	(38.0, 726735.0)	(39.0, 794999.5)	(40.0, 863264.0)	(41.0, 901587.5)	(42.0, 939911.0)	(43.0, 973758.0)	(44.0, 1007605.0)	(45.0, 1053826.5)	(46.0, 1100048.0)	(47.0, 1138210.0)	(48.0, 1176372.0)	(49.0, 1196278.0)	(50.0, 1216184.0)	(51.0, 1222501.0)	(52.0, 1228818.0)	(53.0, 1227334.0)	(54.0, 1225850.0)	(55.0, 1183835.0)	(56.0, 1141820.0)	(57.0, 1087364.5)	(58.0, 1032909.0)	(59.0, 962332.0)	(60.0, 891755.0)	(61.0, 799394.5)	(62.0, 707034.0)	(63.0, 620217.0)	(64.0, 533400.0)	(65.0, 456584.0)	(66.0, 379768.0)	(67.0, 321235.5)	(68.0, 262703.0)	(69.0, 219528.5)	(70.0, 176354.0)	(71.0, 150060.5)	(72.0, 123767.0)	(73.0, 105376.5)	(74.0, 86986.0)	(75.0, 77663.5)	(76.0, 68341.0)	(77.0, 60068.5)	(78.0, 51796.0)	(79.0, 44036.0)	(80.0, 36276.0)	(81.0, 30001.5)	(82.0, 23727.0)	(83.0, 19859.5)	(84.0, 15992.0)	(85.0, 13484.5)	(86.0, 10977.0)	(87.0, 8684.5)	(88.0, 6392.0)	(89.0, 5027.0)	(90.0, 3662.0)	(91.0, 2591.0)	(92.0, 1520.0)	(93.0, 1043.0)	(94.0, 566.0)	(95.0, 375.5)	(96.0, 185.0)	(97.0, 106.5)	(98.0, 28.0)	(99.0, 18.0)	(100.0, 8.0)
SRR17133384	(0.0, 176.0)	(1.0, 228.5)	(2.0, 281.0)	(3.0, 456.5)	(4.0, 632.0)	(5.0, 635.0)	(6.0, 638.0)	(7.0, 1127.0)	(8.0, 1616.0)	(9.0, 2366.5)	(10.0, 3117.0)	(11.0, 4839.5)	(12.0, 6562.0)	(13.0, 9319.5)	(14.0, 12077.0)	(15.0, 17514.0)	(16.0, 22951.0)	(17.0, 32025.5)	(18.0, 41100.0)	(19.0, 53341.0)	(20.0, 65582.0)	(21.0, 82743.5)	(22.0, 99905.0)	(23.0, 122947.5)	(24.0, 145990.0)	(25.0, 176359.5)	(26.0, 206729.0)	(27.0, 243611.0)	(28.0, 280493.0)	(29.0, 320923.5)	(30.0, 361354.0)	(31.0, 412204.0)	(32.0, 463054.0)	(33.0, 521722.0)	(34.0, 580390.0)	(35.0, 640004.0)	(36.0, 699618.0)	(37.0, 754240.5)	(38.0, 808863.0)	(39.0, 891969.5)	(40.0, 975076.0)	(41.0, 1023074.5)	(42.0, 1071073.0)	(43.0, 1107518.0)	(44.0, 1143963.0)	(45.0, 1203382.0)	(46.0, 1262801.0)	(47.0, 1310861.5)	(48.0, 1358922.0)	(49.0, 1388449.5)	(50.0, 1417977.0)	(51.0, 1428348.5)	(52.0, 1438720.0)	(53.0, 1439923.5)	(54.0, 1441127.0)	(55.0, 1392807.5)	(56.0, 1344488.0)	(57.0, 1282271.5)	(58.0, 1220055.0)	(59.0, 1142212.5)	(60.0, 1064370.0)	(61.0, 953307.5)	(62.0, 842245.0)	(63.0, 739470.0)	(64.0, 636695.0)	(65.0, 545191.5)	(66.0, 453688.0)	(67.0, 383713.5)	(68.0, 313739.0)	(69.0, 261511.0)	(70.0, 209283.0)	(71.0, 176781.5)	(72.0, 144280.0)	(73.0, 122266.5)	(74.0, 100253.0)	(75.0, 90644.0)	(76.0, 81035.0)	(77.0, 70888.0)	(78.0, 60741.0)	(79.0, 52373.5)	(80.0, 44006.0)	(81.0, 37280.5)	(82.0, 30555.0)	(83.0, 25815.5)	(84.0, 21076.0)	(85.0, 17794.0)	(86.0, 14512.0)	(87.0, 11402.0)	(88.0, 8292.0)	(89.0, 6266.0)	(90.0, 4240.0)	(91.0, 3063.0)	(92.0, 1886.0)	(93.0, 1295.5)	(94.0, 705.0)	(95.0, 495.0)	(96.0, 285.0)	(97.0, 161.0)	(98.0, 37.0)	(99.0, 22.0)	(100.0, 7.0)
SRR17133385	(0.0, 241.0)	(1.0, 399.5)	(2.0, 558.0)	(3.0, 856.0)	(4.0, 1154.0)	(5.0, 1027.5)	(6.0, 901.0)	(7.0, 1544.0)	(8.0, 2187.0)	(9.0, 3086.0)	(10.0, 3985.0)	(11.0, 6144.0)	(12.0, 8303.0)	(13.0, 11781.0)	(14.0, 15259.0)	(15.0, 22299.5)	(16.0, 29340.0)	(17.0, 40637.5)	(18.0, 51935.0)	(19.0, 65474.5)	(20.0, 79014.0)	(21.0, 99589.5)	(22.0, 120165.0)	(23.0, 145525.0)	(24.0, 170885.0)	(25.0, 204673.5)	(26.0, 238462.0)	(27.0, 280766.5)	(28.0, 323071.0)	(29.0, 366028.0)	(30.0, 408985.0)	(31.0, 463590.0)	(32.0, 518195.0)	(33.0, 580451.0)	(34.0, 642707.0)	(35.0, 708634.5)	(36.0, 774562.0)	(37.0, 835667.0)	(38.0, 896772.0)	(39.0, 990453.0)	(40.0, 1084134.0)	(41.0, 1136746.5)	(42.0, 1189359.0)	(43.0, 1229335.5)	(44.0, 1269312.0)	(45.0, 1336228.0)	(46.0, 1403144.0)	(47.0, 1455617.5)	(48.0, 1508091.0)	(49.0, 1543656.5)	(50.0, 1579222.0)	(51.0, 1593036.5)	(52.0, 1606851.0)	(53.0, 1611775.0)	(54.0, 1616699.0)	(55.0, 1562972.5)	(56.0, 1509246.0)	(57.0, 1442676.5)	(58.0, 1376107.0)	(59.0, 1287147.0)	(60.0, 1198187.0)	(61.0, 1072958.0)	(62.0, 947729.0)	(63.0, 834662.5)	(64.0, 721596.0)	(65.0, 617464.5)	(66.0, 513333.0)	(67.0, 434617.5)	(68.0, 355902.0)	(69.0, 296825.5)	(70.0, 237749.0)	(71.0, 200908.0)	(72.0, 164067.0)	(73.0, 139664.5)	(74.0, 115262.0)	(75.0, 103891.0)	(76.0, 92520.0)	(77.0, 81261.5)	(78.0, 70003.0)	(79.0, 59928.5)	(80.0, 49854.0)	(81.0, 42163.0)	(82.0, 34472.0)	(83.0, 29237.0)	(84.0, 24002.0)	(85.0, 20178.0)	(86.0, 16354.0)	(87.0, 12771.0)	(88.0, 9188.0)	(89.0, 6943.0)	(90.0, 4698.0)	(91.0, 3443.5)	(92.0, 2189.0)	(93.0, 1493.5)	(94.0, 798.0)	(95.0, 562.5)	(96.0, 327.0)	(97.0, 187.5)	(98.0, 48.0)	(99.0, 27.0)	(100.0, 6.0)
SRR17133386	(0.0, 193.0)	(1.0, 297.0)	(2.0, 401.0)	(3.0, 704.0)	(4.0, 1007.0)	(5.0, 902.5)	(6.0, 798.0)	(7.0, 1387.5)	(8.0, 1977.0)	(9.0, 2838.0)	(10.0, 3699.0)	(11.0, 5780.5)	(12.0, 7862.0)	(13.0, 10909.5)	(14.0, 13957.0)	(15.0, 20583.5)	(16.0, 27210.0)	(17.0, 37290.5)	(18.0, 47371.0)	(19.0, 60465.0)	(20.0, 73559.0)	(21.0, 92318.5)	(22.0, 111078.0)	(23.0, 135042.0)	(24.0, 159006.0)	(25.0, 191846.0)	(26.0, 224686.0)	(27.0, 265467.5)	(28.0, 306249.0)	(29.0, 346649.0)	(30.0, 387049.0)	(31.0, 439837.0)	(32.0, 492625.0)	(33.0, 553574.0)	(34.0, 614523.0)	(35.0, 679610.0)	(36.0, 744697.0)	(37.0, 804775.0)	(38.0, 864853.0)	(39.0, 955740.0)	(40.0, 1046627.0)	(41.0, 1099556.5)	(42.0, 1152486.0)	(43.0, 1192779.5)	(44.0, 1233073.0)	(45.0, 1299201.0)	(46.0, 1365329.0)	(47.0, 1417613.0)	(48.0, 1469897.0)	(49.0, 1506473.5)	(50.0, 1543050.0)	(51.0, 1560916.0)	(52.0, 1578782.0)	(53.0, 1586454.5)	(54.0, 1594127.0)	(55.0, 1544549.0)	(56.0, 1494971.0)	(57.0, 1430522.5)	(58.0, 1366074.0)	(59.0, 1281820.0)	(60.0, 1197566.0)	(61.0, 1076855.5)	(62.0, 956145.0)	(63.0, 839363.0)	(64.0, 722581.0)	(65.0, 619505.5)	(66.0, 516430.0)	(67.0, 439676.5)	(68.0, 362923.0)	(69.0, 303834.5)	(70.0, 244746.0)	(71.0, 206736.0)	(72.0, 168726.0)	(73.0, 144619.0)	(74.0, 120512.0)	(75.0, 108569.0)	(76.0, 96626.0)	(77.0, 84877.0)	(78.0, 73128.0)	(79.0, 63249.0)	(80.0, 53370.0)	(81.0, 45184.5)	(82.0, 36999.0)	(83.0, 31437.5)	(84.0, 25876.0)	(85.0, 21981.5)	(86.0, 18087.0)	(87.0, 14288.5)	(88.0, 10490.0)	(89.0, 7899.0)	(90.0, 5308.0)	(91.0, 3885.5)	(92.0, 2463.0)	(93.0, 1676.0)	(94.0, 889.0)	(95.0, 643.0)	(96.0, 397.0)	(97.0, 230.5)	(98.0, 64.0)	(99.0, 37.5)	(100.0, 11.0)
SRR17133387	(0.0, 205.0)	(1.0, 303.0)	(2.0, 401.0)	(3.0, 670.5)	(4.0, 940.0)	(5.0, 892.5)	(6.0, 845.0)	(7.0, 1405.5)	(8.0, 1966.0)	(9.0, 2771.5)	(10.0, 3577.0)	(11.0, 5488.5)	(12.0, 7400.0)	(13.0, 10362.5)	(14.0, 13325.0)	(15.0, 19731.0)	(16.0, 26137.0)	(17.0, 35922.5)	(18.0, 45708.0)	(19.0, 58891.5)	(20.0, 72075.0)	(21.0, 90394.0)	(22.0, 108713.0)	(23.0, 133088.0)	(24.0, 157463.0)	(25.0, 190183.5)	(26.0, 222904.0)	(27.0, 262894.5)	(28.0, 302885.0)	(29.0, 346362.5)	(30.0, 389840.0)	(31.0, 444918.5)	(32.0, 499997.0)	(33.0, 563303.5)	(34.0, 626610.0)	(35.0, 692879.5)	(36.0, 759149.0)	(37.0, 820376.5)	(38.0, 881604.0)	(39.0, 972604.5)	(40.0, 1063605.0)	(41.0, 1119317.0)	(42.0, 1175029.0)	(43.0, 1218387.0)	(44.0, 1261745.0)	(45.0, 1328884.5)	(46.0, 1396024.0)	(47.0, 1447495.5)	(48.0, 1498967.0)	(49.0, 1533121.0)	(50.0, 1567275.0)	(51.0, 1578879.0)	(52.0, 1590483.0)	(53.0, 1591992.5)	(54.0, 1593502.0)	(55.0, 1540248.0)	(56.0, 1486994.0)	(57.0, 1421456.5)	(58.0, 1355919.0)	(59.0, 1266620.5)	(60.0, 1177322.0)	(61.0, 1055517.5)	(62.0, 933713.0)	(63.0, 817732.5)	(64.0, 701752.0)	(65.0, 599550.0)	(66.0, 497348.0)	(67.0, 420811.5)	(68.0, 344275.0)	(69.0, 287400.5)	(70.0, 230526.0)	(71.0, 194350.0)	(72.0, 158174.0)	(73.0, 134665.5)	(74.0, 111157.0)	(75.0, 99866.0)	(76.0, 88575.0)	(77.0, 77358.5)	(78.0, 66142.0)	(79.0, 57461.5)	(80.0, 48781.0)	(81.0, 41157.0)	(82.0, 33533.0)	(83.0, 28206.5)	(84.0, 22880.0)	(85.0, 19381.5)	(86.0, 15883.0)	(87.0, 12378.5)	(88.0, 8874.0)	(89.0, 6698.5)	(90.0, 4523.0)	(91.0, 3239.0)	(92.0, 1955.0)	(93.0, 1366.5)	(94.0, 778.0)	(95.0, 538.0)	(96.0, 298.0)	(97.0, 176.0)	(98.0, 54.0)	(99.0, 30.0)	(100.0, 6.0)
